"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"0_2L_20769600_20772000_2L_20782400_20784800" 56.4405645533813 -0.672662990867814 0.21043789134332 -3.19649178469667 0.00139109787850751 0.0113054863690328
"0_2L_19588800_19591200_2L_20228000_20230400" 1.24051331283653 4.0440078962419 1.74592651762218 2.3162532073512 0.0205444475946739 NA
"0_X_11583200_11585600_X_11604000_11606400" 28.3376588520273 -0.15596350024291 0.296403949039996 -0.526185635340049 0.598759233593208 0.759847351236449
"0_2L_4454400_4456800_2L_4837600_4840000" 1.8198268587861 1.33379062821469 1.61663800734423 0.825039756677383 0.40934901988269 NA
"0_2L_12822400_12824800_2L_12852800_12855200" 30.3749118069409 -1.05996479627151 0.251906776834299 -4.20776610138101 2.57907612839835e-05 0.000442136593569395
"0_2R_17801600_17804000_2R_17820800_17823200" 19.6487054490423 1.03378197062851 0.333775957317194 3.09723318281456 0.00195336153362094 0.0145182851240693
"0_3L_15926400_15928800_3L_15948800_15951200" 19.8106342538833 -0.272210381763547 0.318818244180612 -0.853810554233335 0.393209965655298 0.591722892736237
"0_X_11360000_11362400_X_11365600_11368000" 93.3990572621302 -0.670969610556284 0.161967160068721 -4.14262749480572 3.433493810617e-05 0.000567233130020333
"0_X_3368800_3371200_X_3450400_3452800" 24.7497693884938 -1.31000022968922 0.293581858801657 -4.46212935307508 8.11492131370054e-06 0.000161338427728174
"0_3R_8562400_8564800_3R_8651200_8653600" 7.04628823880991 0.107069895828248 0.542125925032539 0.197500047284811 0.843436244439934 0.914869815618516
"0_3L_672000_674400_3L_748000_750400" 20.5337875908786 0.977473009088412 0.411859631069924 2.3733158953917 0.0176291792300895 0.0756026963462604
"0_2L_3538400_3540800_2L_3612000_3614400" 13.2111491655244 -0.0244482463148369 0.439049520833428 -0.0556844846759607 0.955593159758385 0.977073599435256
"0_2R_18588000_18590400_2R_18604000_18606400" 64.8669329491083 -0.70334059449211 0.192729217314491 -3.64937192342983 0.000262882266535612 0.00297947791457222
"0_3R_14107200_14109600_3R_14285600_14288000" 1.55695999590986 3.79362281261279 1.6576543367084 2.28854878161497 0.022105582706733 NA
"0_3L_9018400_9020800_3L_9040000_9042400" 73.6847038808118 -1.65374089416535 0.202120580413815 -8.18195203466928 2.79282227657501e-16 9.07401256812919e-14
"0_2L_18318400_18320800_2L_18363200_18365600" 17.9775417023885 -0.196447884392093 0.368060017688061 -0.533738724532113 0.593522313139311 0.755946003836012
"0_X_16920800_16923200_X_17056800_17059200" 2.0221136064981 -0.594567218730207 1.02005617449844 -0.582876937167263 0.559976147186051 NA
"0_3R_16718400_16720800_3R_16729600_16732000" 78.4546431066914 -0.925735804732403 0.19695881259721 -4.70014919629707 2.59971486543651e-06 6.56957575069381e-05
"0_3R_14893600_14896000_3R_15094400_15096800" 1.82690222934448 1.26523176057052 1.25877321209085 1.00513082771196 0.314833857611721 NA
"0_2L_6722400_6724800_2L_6919200_6921600" 1.33071743787375 1.85182918844402 1.70504335470409 1.08608920901334 0.277439526058169 NA
"0_2L_3199200_3201600_2L_3264800_3267200" 15.4555791970208 -1.77744551760165 0.370090354873788 -4.80273396535235 1.56513772524813e-06 4.28872879492691e-05
"0_3R_6647200_6649600_3R_6654400_6656800" 143.567343576131 -0.754712610281342 0.138382648747148 -5.45380954270032 4.930200680967e-08 2.11564523561244e-06
"0_X_2292800_2295200_X_2305600_2308000" 60.5888438863604 -0.230092028773988 0.206276129652579 -1.11545639896153 0.264654892664028 0.46159006458248
"0_3R_17718400_17720800_3R_17792800_17795200" 6.55539835751081 0.759337996062104 0.644941963737829 1.17737414954561 0.239046202996148 0.431827440572601
"0_X_11170400_11172800_X_11304000_11306400" 2.90459992270057 -0.997955591382071 0.834712371798256 -1.19556822816958 0.23186509620453 0.422772728862508
"0_3R_29502400_29504800_3R_29590400_29592800" 6.3689673658336 1.27824922498253 0.673156639354096 1.89888823826951 0.0575791721079632 0.174683277586764
"0_X_18664800_18667200_X_18692000_18694400" 49.9366199480498 0.116087922166212 0.250942697506544 0.462607293695744 0.643645879659483 0.793853188162808
"0_3L_1356800_1359200_3L_1488000_1490400" 4.44069431450382 0.505428785056915 0.763242892450939 0.662212239453516 0.507835211266969 0.68803805529677
"0_3L_13112800_13115200_3L_13227200_13229600" 18.9287830134579 0.821335579212629 0.405558119309056 2.02519821477604 0.0428470149260251 0.14373568343676
"0_X_8455200_8457600_X_8464000_8466400" 89.8272674158547 -1.27426911138358 0.204975354152783 -6.2166942784437 5.07737637117391e-10 3.62163409789001e-08
"0_2R_5700800_5703200_2R_5980000_5982400" 1.82983114642942 0.810732750722752 1.26929156583164 0.638728541610973 0.522999541857925 NA
"0_3R_19238400_19240800_3R_19776800_19779200" 0.849883900601309 0.0687975993353578 1.42517569211599 0.0482730653602523 0.961498620249416 NA
