"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"0_2L_20769600_20772000_2L_20782400_20784800" 56.4405645533813 -1.46246817985512 0.172793503525928 -8.46367571704265 2.59079577203947e-17 5.36154681797466e-15
"0_2L_19588800_19591200_2L_20228000_20230400" 1.24051331283653 1.77386929166895 1.00194466363865 1.77042640780878 0.0766561337973103 NA
"0_X_11583200_11585600_X_11604000_11606400" 28.3376588520273 -0.358445250913777 0.243213792844462 -1.47378669080255 0.140539032870696 0.324617609258195
"0_2L_4454400_4456800_2L_4837600_4840000" 1.8198268587861 -1.08429872059958 0.707265435912541 -1.53308597528249 0.125254672776053 0.300462101956842
"0_2L_12822400_12824800_2L_12852800_12855200" 30.3749118069409 -0.529868529932964 0.222316071673243 -2.3834018204125 0.0171534593829033 0.0776724059697754
"0_2R_17801600_17804000_2R_17820800_17823200" 19.6487054490423 -0.403189282526005 0.234467437202239 -1.71959606560733 0.0855058918464627 0.233995215821431
"0_3L_15926400_15928800_3L_15948800_15951200" 19.8106342538833 -0.156052919526328 0.271104615853383 -0.575618821668176 0.564872856240523 0.751944749582697
"0_X_11360000_11362400_X_11365600_11368000" 93.3990572621302 -0.64590855359754 0.141689730969411 -4.55861232270236 5.14927227696881e-06 9.2771712528824e-05
"0_X_3368800_3371200_X_3450400_3452800" 24.7497693884938 -0.670041897880968 0.248639937992388 -2.69482812492288 0.00704249478593096 0.0403375928166177
"0_3R_8562400_8564800_3R_8651200_8653600" 7.04628823880991 -0.558139223141866 0.383135025171177 -1.4567689886679 0.145180158914169 0.331425931858594
"0_3L_672000_674400_3L_748000_750400" 20.5337875908786 -1.31583738934504 0.262968629992005 -5.00378082885797 5.62166700438599e-07 1.25862877931531e-05
"0_2L_3538400_3540800_2L_3612000_3614400" 13.2111491655244 -1.62963487066607 0.300146671773185 -5.42946173961758 5.65242688195677e-08 1.54573687982653e-06
"0_2R_18588000_18590400_2R_18604000_18606400" 64.8669329491083 -0.462046474168065 0.167483966899593 -2.75875048054637 0.00580228194528464 0.0347094319180035
"0_3R_14107200_14109600_3R_14285600_14288000" 1.55695999590986 -0.078722765903054 0.770597108938372 -0.102158138137201 0.918631154782738 NA
"0_3L_9018400_9020800_3L_9040000_9042400" 73.6847038808118 -1.35634907927066 0.17589796692934 -7.71099918292696 1.2483646277719e-14 1.22547794292941e-12
"0_2L_18318400_18320800_2L_18363200_18365600" 17.9775417023885 -0.258054231749398 0.29822286088019 -0.865306673632477 0.386870488872325 0.611280918963144
"0_X_16920800_16923200_X_17056800_17059200" 2.0221136064981 0.449059215178928 0.861393184757309 0.52131735324264 0.602145714290108 0.779612738302224
"0_3R_16718400_16720800_3R_16729600_16732000" 78.4546431066914 -0.0169427029540582 0.1770231251847 -0.0957089811649227 0.923751707710964 0.963544138981054
