"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"0_2L_20769600_20772000_2L_20782400_20784800" 56.4405645533813 -1.3092594379299 0.319623095232321 -4.09626043130034 4.19877566069152e-05 0.00172667160987678
"0_2L_19588800_19591200_2L_20228000_20230400" 1.24051331283653 -0.718300539117638 2.08188442931692 -0.345024214121875 0.730076166974958 NA
"0_X_11583200_11585600_X_11604000_11606400" 28.3376588520273 0.233961606254453 0.367385397787914 0.636828811550957 0.524236356874684 0.770482161770333
"0_2L_4454400_4456800_2L_4837600_4840000" 1.8198268587861 -0.202569532981777 1.71557912869809 -0.118076473182267 0.906007064708784 NA
"0_2L_12822400_12824800_2L_12852800_12855200" 30.3749118069409 -1.52276150674743 0.380570225538606 -4.00126285389858 6.30053200050939e-05 0.00235798723684269
"0_2R_17801600_17804000_2R_17820800_17823200" 19.6487054490423 0.456375662538548 0.537148004685749 0.849627399817941 0.395532273486375 0.669504777810188
"0_3L_15926400_15928800_3L_15948800_15951200" 19.8106342538833 -0.498144222892098 0.429453693252456 -1.1599486294306 0.246069721882114 0.539365068289402
"0_X_11360000_11362400_X_11365600_11368000" 93.3990572621302 -0.625478444958121 0.207431092280286 -3.01535530706727 0.00256678375195036 0.0368644313919202
"0_X_3368800_3371200_X_3450400_3452800" 24.7497693884938 -3.07829453436599 0.494846793492546 -6.22070219479428 4.94934793391288e-10 9.56182089554975e-08
"0_3R_8562400_8564800_3R_8651200_8653600" 7.04628823880991 -0.230102613090025 0.79714273484842 -0.288659236333352 0.772842160008918 0.904897692334977
"0_3L_672000_674400_3L_748000_750400" 20.5337875908786 -1.23061042661597 0.692461559470325 -1.77715341708973 0.0755430013936801 0.299026460903338
"0_2L_3538400_3540800_2L_3612000_3614400" 13.2111491655244 -0.789468277137057 0.673083667151079 -1.17291254514998 0.24083087821995 0.533505029664911
"0_2R_18588000_18590400_2R_18604000_18606400" 64.8669329491083 -0.0643581837083898 0.240882117782148 -0.267177091852849 0.789332813281229 0.912961417292638
"0_3R_14107200_14109600_3R_14285600_14288000" 1.55695999590986 0 2.22669325026713 0 1 NA
"0_3L_9018400_9020800_3L_9040000_9042400" 73.6847038808118 -1.78308976165506 0.288706716522114 -6.17612843627238 6.56925532662659e-10 1.10154654369109e-07
"0_2L_18318400_18320800_2L_18363200_18365600" 17.9775417023885 -0.864203627908538 0.495835882750966 -1.74292272498274 0.0813471139073339 0.311536232255761
"0_X_16920800_16923200_X_17056800_17059200" 2.0221136064981 0.826541715708437 1.71549530484881 0.481809372122579 0.629941370977828 NA
"0_3R_16718400_16720800_3R_16729600_16732000" 78.4546431066914 -1.19131587389609 0.262220375230513 -4.54318575682314 5.54103826315368e-06 0.000328567110475519
"0_3R_14893600_14896000_3R_15094400_15096800" 1.82690222934448 -0.532314009346811 1.83066982990141 -0.290775540543801 0.771222993260262 NA
