"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"0_2L_20769600_20772000_2L_20782400_20784800" 56.4405645533813 0.8422601731988 0.313289696981476 2.68843878785009 0.00717869959956912 0.0790015293702997
"0_2L_19588800_19591200_2L_20228000_20230400" 1.24051331283653 0 2.32404970200496 0 1 NA
"0_X_11583200_11585600_X_11604000_11606400" 28.3376588520273 0.0933370594508792 0.399714692853885 0.233509203238117 0.815366023917614 0.922324999378212
"0_2L_4454400_4456800_2L_4837600_4840000" 1.8198268587861 -0.704196170529698 1.75660931058019 -0.400883774376165 0.688505696479506 NA
"0_2L_12822400_12824800_2L_12852800_12855200" 30.3749118069409 1.54944617635946 0.428433364573238 3.61653947727172 0.000298567800953946 0.00914225664587685
"0_2R_17801600_17804000_2R_17820800_17823200" 19.6487054490423 -0.0625943394510902 0.50165533942389 -0.124775587005562 0.900701215071441 0.962824892175846
"0_3L_15926400_15928800_3L_15948800_15951200" 19.8106342538833 0.670712042911946 0.489290694685066 1.37078438277608 0.170442180731884 0.457138922692896
"0_X_11360000_11362400_X_11365600_11368000" 93.3990572621302 1.02234480788643 0.230598043144343 4.43344962492373 9.27371832566712e-06 0.000638920552145441
"0_X_3368800_3371200_X_3450400_3452800" 24.7497693884938 2.80326241408978 0.563153662419272 4.97779309832977 6.4313349520708e-07 7.59586595946361e-05
"0_3R_8562400_8564800_3R_8651200_8653600" 7.04628823880991 0.513481195586344 0.771412508097754 0.665637632519792 0.505642746352398 0.756435659048359
"0_3L_672000_674400_3L_748000_750400" 20.5337875908786 1.07824061827305 0.69250403315085 1.55701709543427 0.119466426632867 0.386830179175918
"0_2L_3538400_3540800_2L_3612000_3614400" 13.2111491655244 2.1343436831935 0.942408787430909 2.26477481073995 0.023526501942189 0.163621749574804
"0_2R_18588000_18590400_2R_18604000_18606400" 64.8669329491083 -0.0254223439347491 0.246360351949059 -0.103191701642015 0.917810825882803 0.970487738191664
"0_3R_14107200_14109600_3R_14285600_14288000" 1.55695999590986 0 2.22669325026713 0 1 NA
"0_3L_9018400_9020800_3L_9040000_9042400" 73.6847038808118 1.34120037275414 0.289894520106218 4.62651164383072 3.7187596997638e-06 0.000315331751977408
"0_2L_18318400_18320800_2L_18363200_18365600" 17.9775417023885 0.685906716559291 0.550160100985724 1.24674020404306 0.212492772115134 0.51117436861616
"0_X_16920800_16923200_X_17056800_17059200" 2.0221136064981 2.36454259881026 1.74094784768823 1.35819266611007 0.174402557104837 NA
"0_3R_16718400_16720800_3R_16729600_16732000" 78.4546431066914 0.894418454056652 0.264458431189946 3.38207577664348 0.000719402971037795 0.0172626865001043
"0_3R_14893600_14896000_3R_15094400_15096800" 1.82690222934448 0.736711079144064 1.64135367988981 0.448843590610844 0.653544490913338 NA
"0_2L_6722400_6724800_2L_6919200_6921600" 1.33071743787375 0.681674923763495 2.24825999492639 0.303201108991763 0.761736603918718 NA
"0_2L_3199200_3201600_2L_3264800_3267200" 15.4555791970208 2.90914315027904 0.743241329119069 3.91412995524229 9.07307632447149e-05 0.00370427943271941
"0_3R_6647200_6649600_3R_6654400_6656800" 143.567343576131 0.487921083911876 0.18041088905988 2.7044990823693 0.00684074586447962 0.077041397249881
"0_X_2292800_2295200_X_2305600_2308000" 60.5888438863604 1.35291805645335 0.327919201730624 4.12576649770188 3.69502025524218e-05 0.00189625845352146
"0_3R_17718400_17720800_3R_17792800_17795200" 6.55539835751081 0.149511709112438 0.919258391409371 0.162643833887894 0.870798872030524 0.949494797096184
"0_X_11170400_11172800_X_11304000_11306400" 2.90459992270057 3.09241836137875 1.63690806130477 1.88918268196065 0.0588673544367041 0.27208153895483
"0_3R_29502400_29504800_3R_29590400_29592800" 6.3689673658336 -0.282298741070261 0.900327656938906 -0.313551115412883 0.753861992536579 0.892117233608326
"0_X_18664800_18667200_X_18692000_18694400" 49.9366199480498 0.585483984944284 0.370877264400305 1.57864620224427 0.114417230880445 0.379522914895143
"0_3L_1356800_1359200_3L_1488000_1490400" 4.44069431450382 0.283094363607702 1.00635003193032 0.281308048517361 0.778474137645795 0.906573755923563
"0_3L_13112800_13115200_3L_13227200_13229600" 18.9287830134579 2.42576583447651 0.835504262193271 2.90335542766552 0.00369187381730016 0.0527387763015621
"0_X_8455200_8457600_X_8464000_8466400" 89.8272674158547 -0.376611324844671 0.230652544332904 -1.63280802270754 0.10250937922793 0.361020784991228
"0_2R_5700800_5703200_2R_5980000_5982400" 1.82983114642942 3.94002655767227 1.94738809065131 2.02323644505524 0.0430487758614037 NA
"0_3R_19238400_19240800_3R_19776800_19779200" 0.849883900601309 4.34961964772994 2.07278619192883 2.09844105709832 0.0358662016208744 NA
"0_3L_22407200_22409600_3L_22571200_22573600" 8.5924947262947 3.02585798683916 0.986878418059749 3.06608993718613 0.00216878068227884 0.0383491823392865
"0_X_16556800_16559200_X_16565600_16568000" 301.779230786812 -1.03060928673704 0.351978809649239 -2.9280435596793 0.00341102253348633 0.0504709240189678
"0_2L_12616800_12619200_2L_12677600_12680000" 27.8779026601978 1.96636324242499 0.583559886047899 3.36959974363897 0.000752774412977194 0.0177816070265399
"0_2R_17849600_17852000_2R_18125600_18128000" 1.70788952806889 2.98839477324756 2.20521637647702 1.35514809572642 0.175370377755474 NA
"0_2L_16048800_16051200_2L_16196800_16199200" 6.40941974552096 1.75943442727398 0.961791871873979 1.82932969047228 0.067350233409239 0.289890947250183
"0_2R_16206400_16208800_2R_16217600_16220000" 50.4527671123906 0.542142537146694 0.306654800228671 1.76792450906498 0.0770735248345646 0.31377892623583
"0_2L_12520000_12522400_2L_12544800_12547200" 13.0122545273297 0.252481012316966 0.889870417893388 0.283727840863246 0.776618957217383 0.905439411781381
"0_3L_18683200_18685600_3L_18742400_18744800" 8.68296258023801 0.871001411617204 1.01711678185779 0.856343565609349 0.391807770399462 0.678203766925424
"0_3R_14942400_14944800_3R_15158400_15160800" 1.52911046083504 2.4628159396646 1.90543155171245 1.29252396259063 0.196175752954804 NA
"0_2L_2856000_2858400_2L_2872800_2875200" 18.3666645379869 -0.207000187177075 0.517575494323101 -0.399942017053562 0.689199224050224 0.864286581110065
"0_3L_9988000_9990400_3L_10181600_10184000" 3.00206827556555 2.75584978674298 1.71668289689089 1.60533421270413 0.108420273783734 0.369102937054817
"0_3R_14166400_14168800_3R_14249600_14252000" 9.71749043513684 2.06515354129731 0.794655415586487 2.59880383470758 0.00935492157496024 0.094607723695393
"0_3R_25079200_25081600_3R_25093600_25096000" 55.0231045358437 1.61032338562007 0.336968179464548 4.77885890643717 1.76292846762792e-06 0.000159726149108096
"0_X_19297600_19300000_X_19321600_19324000" 16.1748994089877 0.444753359218568 0.519297995419588 0.856451138154715 0.391748288866401 0.678203766925424
"0_2L_3538400_3540800_2L_3605600_3608000" 70.1119869858785 2.12658021495221 0.362436385954024 5.86745784189001 4.42527475275814e-09 1.21953196728093e-06
"0_2R_12438400_12440800_2R_12448000_12450400" 117.642835875475 0.505497325815489 0.22168390913745 2.28026169234533 0.0225921723509407 0.160944865977613
"0_X_16792800_16795200_X_17140800_17143200" 0.73168731604283 -1.18387240758431 2.14361540176996 -0.552278364209734 0.5807576516193 NA
"0_X_843200_845600_X_884000_886400" 22.5662814537168 1.33068830659533 0.541707237538956 2.45647134537248 0.0140308991336108 0.121945291550199
"0_X_3484800_3487200_X_3571200_3573600" 6.53867159739292 2.33072294514151 1.1740113165113 1.98526446241379 0.047115055672954 0.243833316291798
"0_2L_11580000_11582400_2L_11764800_11767200" 3.78028869509349 1.35446195534385 1.18874223906555 1.13940761153449 0.25453318272837 0.564282360025307
"0_3L_19662400_19664800_3L_19681600_19684000" 54.120005575432 1.30517774838602 0.356090214302127 3.66530080289888 0.000247048038854611 0.00793192101448738
"0_2R_22545600_22548000_2R_22560000_22562400" 28.2207393103795 0.960591505830898 0.510772906780113 1.8806626057878 0.0600178295092492 0.274693003691387
"0_3R_28635200_28637600_3R_28670400_28672800" 17.7535920490247 1.03877442551459 0.588547289880744 1.76498039048838 0.0775670614447508 0.31377892623583
"0_2R_8029600_8032000_2R_8049600_8052000" 54.7165855333459 1.69618759838152 0.347000884807164 4.88813623436184 1.01795080368462e-06 0.000102011009326819
"0_3L_18185600_18188000_3L_18232800_18235200" 37.186854239756 2.7813937737431 0.566352999391795 4.91106037529603 9.05851887272303e-07 9.43404906605135e-05
"0_3R_29056000_29058400_3R_29060800_29063200" 266.841082092274 0.153210083462791 0.178850513401977 0.856637649780978 0.391645171473729 0.678203766925424
"0_X_3720000_3722400_X_3739200_3741600" 16.2366995975433 1.02273205992371 0.633013460395429 1.61565610198057 0.106168686990981 0.364968656839058
"0_2L_5101600_5104000_2L_5168800_5171200" 7.6548603470993 1.24053675483556 0.801515481525255 1.54773898125444 0.12168515279439 0.391198401651738
"0_X_7967200_7969600_X_8060000_8062400" 2.41762242264228 3.53557663287872 1.72910746528323 2.04474082951206 0.0408804160251006 NA
"0_2R_25084800_25087200_2R_25181600_25184000" 7.16708422157127 1.79452545063295 0.910395144439486 1.97115006774098 0.0487067133111921 0.246575114730423
"0_2L_8404000_8406400_2L_8412800_8415200" 109.234282755041 0.0559019644929157 0.207787295619352 0.269034564054018 0.787903084620946 0.909801817725843
"0_2L_19188800_19191200_2L_19362400_19364800" 19.5755739312133 1.1298310225212 0.573493330777268 1.97008572181636 0.0488285470201996 0.246575114730423
"0_3R_15099200_15101600_3R_15119200_15121600" 56.2132007610851 0.139395524134609 0.293535836654594 0.474884176744106 0.634869530287677 0.838463872468589
"0_2R_7634400_7636800_2R_7782400_7784800" 5.5138107593004 -0.254605135724896 0.891147058788596 -0.285704961054352 0.77510410464809 0.903832607218348
"0_3R_28544000_28546400_3R_28634400_28636800" 2.45937999713785 -4.74807857627724 1.70511873437261 -2.78460290216932 0.00535933126490741 NA
"0_3L_3471200_3473600_3L_3514400_3516800" 9.56370886796823 1.81361796201671 0.951205353185577 1.90665239208644 0.056565615772969 0.265525182911581
"0_3R_27682400_27684800_3R_27692800_27695200" 58.5797419709812 0.989516449011947 0.304905094319592 3.24532606193442 0.00117316209644838 0.0249494987328282
"0_X_14387200_14389600_X_14426400_14428800" 7.27564932600822 0.512534153631345 0.712656943398198 0.719187764013641 0.472025237506873 0.734131290182741
"0_2R_13968800_13971200_2R_13976800_13979200" 123.215211736196 0.580038171422436 0.203030105476633 2.85690720625268 0.0042779088218935 0.0578611225930544
"0_2R_14083200_14085600_2R_14116000_14118400" 18.9223302190856 0.779188552005959 0.482387833259726 1.61527405602378 0.106251359394584 0.36506311222638
"0_X_20256000_20258400_X_20388800_20391200" 10.2381291115582 2.235175902892 0.75106787809058 2.97599720091136 0.00292037527493236 0.0454479107491827
"0_3R_13676800_13679200_3R_13680800_13683200" 403.992729764649 0.380850298518275 0.178302609359624 2.1359771451809 0.0326812767425339 0.199588148084136
"0_2R_10210400_10212800_2R_10237600_10240000" 28.6414259804503 1.55412133014591 0.491451155930939 3.16231086526186 0.00156522375334261 0.0307192578771752
"0_2L_5402400_5404800_2L_5460000_5462400" 77.5035540556752 1.92835649169288 0.296021161859136 6.514252155427 7.30526914424205e-11 3.71669616307822e-08
"0_3R_18257600_18260000_3R_18376000_18378400" 2.4902479246645 -0.104003425757166 1.59421224845669 -0.06523812990262 0.947984402504332 NA
"0_2R_14072800_14075200_2R_14112800_14115200" 23.1233506394539 1.12434277645107 0.506209093096751 2.22110347637746 0.0263439536428593 0.174738826964024
"0_2R_13238400_13240800_2R_13430400_13432800" 1.80555644885628 -0.462779345341143 2.17202724496992 -0.213063324326556 0.831277570756779 NA
"0_2R_22567200_22569600_2R_22590400_22592800" 35.3276735384022 1.20280402334641 0.39854988623635 3.01795098903407 0.00254490059230842 0.0410997537922305
"0_X_3349600_3352000_X_3452800_3455200" 3.149650500361 2.23256909213214 1.6870275799976 1.32337438854161 0.185710904608377 0.480229183506325
"0_X_7112000_7114400_X_7153600_7156000" 11.2329510144705 1.51806497913558 0.715293516550451 2.12229657337948 0.0338128410595958 0.203207157650084
"0_3L_12608800_12611200_3L_12692000_12694400" 10.8135314235493 0.945186297790529 0.776596144201106 1.21708857924199 0.223570515523579 0.522876729021554
"0_2R_23703200_23705600_2R_23809600_23812000" 10.3770725253437 0.478390874729645 0.748608697267518 0.63903996370308 0.522796934217663 0.76706187939549
"0_2R_9400000_9402400_2R_9422400_9424800" 16.487593079528 0.85526468947599 0.573036946295266 1.49251229786378 0.135564895748466 0.410167529954416
"0_3L_15699200_15701600_3L_15728000_15730400" 51.7062457613586 1.90415376136568 0.393772417829655 4.83567074570828 1.32697412357405e-06 0.000125380097904554
"0_3R_16957600_16960000_3R_16968000_16970400" 48.1949406755241 1.15217932524529 0.349887428915908 3.2930000623778 0.00099124452620242 0.0217089115771616
"0_3R_10904800_10907200_3R_11144800_11147200" 2.99880210505057 1.31705963174034 1.0956554942847 1.202074592434 0.229334629264347 0.530541881061346
