"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"0_2L_20769600_20772000_2L_20782400_20784800" 56.4405645533813 0.0928397551344833 0.246973121962162 0.375910359786873 0.70698353845317 1
"0_2L_19588800_19591200_2L_20228000_20230400" 1.24051331283653 0 2.32404970200496 0 1 1
"0_X_11583200_11585600_X_11604000_11606400" 28.3376588520273 -0.115781184183073 0.358665711514617 -0.322810852741227 0.746838493380684 1
"0_2L_4454400_4456800_2L_4837600_4840000" 1.8198268587861 -0.753396292617365 2.1739190770894 -0.346561332736482 0.728920899526831 1
"0_2L_12822400_12824800_2L_12852800_12855200" 30.3749118069409 -0.0274531627391251 0.293624860855607 -0.0934974057003489 0.925508410619522 1
"0_2R_17801600_17804000_2R_17820800_17823200" 19.6487054490423 0.571964918971514 0.492915497364659 1.16037114278104 0.245897730527061 1
"0_3L_15926400_15928800_3L_15948800_15951200" 19.8106342538833 -0.17218586718102 0.38250846168786 -0.450149171658142 0.652602883376698 1
"0_X_11360000_11362400_X_11365600_11368000" 93.3990572621302 0.0818397692603932 0.183855388297991 0.445131198046523 0.656224944120313 1
"0_X_3368800_3371200_X_3450400_3452800" 24.7497693884938 -0.232379758963066 0.346740160445975 -0.670184147876556 0.502740407898233 1
"0_3R_8562400_8564800_3R_8651200_8653600" 7.04628823880991 0.287871684407029 0.770915304893895 0.373415448596717 0.708839263372771 1
"0_3L_672000_674400_3L_748000_750400" 20.5337875908786 0.137396998564995 0.575927006154805 0.238566688307135 0.811441598214448 1
"0_2L_3538400_3540800_2L_3612000_3614400" 13.2111491655244 0.124445646306534 0.594478106037055 0.20933596215363 0.83418597988649 1
"0_2R_18588000_18590400_2R_18604000_18606400" 64.8669329491083 -0.015779617006552 0.225007814773811 -0.070129195390011 0.944090829341452 1
"0_3R_14107200_14109600_3R_14285600_14288000" 1.55695999590986 0 2.22669325026713 0 1 1
"0_3L_9018400_9020800_3L_9040000_9042400" 73.6847038808118 0.0450903159800291 0.22421932784317 0.201099148827916 0.840621047536373 1
"0_2L_18318400_18320800_2L_18363200_18365600" 17.9775417023885 -0.335963188540354 0.445256457444237 -0.754538610105231 0.450525870398054 1
"0_X_16920800_16923200_X_17056800_17059200" 2.0221136064981 1.28601413584949 1.76374919421497 0.729136625585751 0.465918092651512 1
"0_3R_16718400_16720800_3R_16729600_16732000" 78.4546431066914 0.0831572617962215 0.224890001759732 0.36976860307496 0.711554910849363 1
"0_3R_14893600_14896000_3R_15094400_15096800" 1.82690222934448 0.290038090753499 1.92663333181259 0.150541406070573 0.880337485615473 1
"0_2L_6722400_6724800_2L_6919200_6921600" 1.33071743787375 0.741170121431778 2.26961362528673 0.326562245297652 0.743999003079445 1
"0_2L_3199200_3201600_2L_3264800_3267200" 15.4555791970208 -0.0102165501682834 0.426867935636677 -0.0239337493293923 0.980905453915534 1
"0_3R_6647200_6649600_3R_6654400_6656800" 143.567343576131 0.0829440407677358 0.157966860003052 0.52507241560751 0.599532850987871 1
