"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"0_2L_20769600_20772000_2L_20782400_20784800" 56.4405645533813 0.169597182330987 0.299338163783212 0.56657387146202 0.571003731026797 0.798400889494162
"0_2L_19588800_19591200_2L_20228000_20230400" 1.24051331283653 5.86291723723617 1.74592651762218 3.35805498001199 0.000784929990464086 NA
"0_X_11583200_11585600_X_11604000_11606400" 28.3376588520273 -0.0626264407920306 0.364343882378454 -0.171888273197294 0.863525366003574 0.945167941045911
"0_2L_4454400_4456800_2L_4837600_4840000" 1.8198268587861 0.629594457684991 0.975152353318729 0.645637018197513 0.518514457672111 NA
"0_2L_12822400_12824800_2L_12852800_12855200" 30.3749118069409 0.489481380087949 0.412912560861045 1.18543591666777 0.235845137982368 0.526490340599077
"0_2R_17801600_17804000_2R_17820800_17823200" 19.6487054490423 0.971187631177417 0.44349726138121 2.18983907172908 0.0285359099978989 0.153785499810983
"0_3L_15926400_15928800_3L_15948800_15951200" 19.8106342538833 0.398501661148399 0.457083278273578 0.871836009082537 0.383297847176531 0.670119365471895
"0_X_11360000_11362400_X_11365600_11368000" 93.3990572621302 0.351375197330148 0.222902631667393 1.57636181637576 0.114942442896935 0.353185413026743
"0_X_3368800_3371200_X_3450400_3452800" 24.7497693884938 1.49326218440057 0.541267001592251 2.75882730705516 0.00580091811065097 0.0563909580874628
"0_3R_8562400_8564800_3R_8651200_8653600" 7.04628823880991 0.620551091414592 0.665940643375674 0.931841445010773 0.351418472374624 NA
"0_3L_672000_674400_3L_748000_750400" 20.5337875908786 2.05571362736146 0.61913628156077 3.32029262148755 0.000899231394575521 0.0157368577480686
"0_2L_3538400_3540800_2L_3612000_3614400" 13.2111491655244 2.10989543687866 0.893010252273217 2.36267773131135 0.0181434393041879 0.114604129396388
"0_2R_18588000_18590400_2R_18604000_18606400" 64.8669329491083 -0.728762938426859 0.229992949795216 -3.16863164316881 0.00153158371084251 0.0228183776050159
"0_3R_14107200_14109600_3R_14285600_14288000" 1.55695999590986 4.33327463386536 1.6576543367084 2.61410026077567 0.00894627793510829 NA
"0_3L_9018400_9020800_3L_9040000_9042400" 73.6847038808118 -0.312540521411214 0.280909374075093 -1.11260267636232 0.265879110502541 0.563263731265558
"0_2L_18318400_18320800_2L_18363200_18365600" 17.9775417023885 0.489458832167199 0.50288795896469 0.973295986594831 0.330406216561421 0.622653695004841
"0_X_16920800_16923200_X_17056800_17059200" 2.0221136064981 1.76997538008005 1.58858711829484 1.114182130584 0.265201059854525 NA
"0_3R_16718400_16720800_3R_16729600_16732000" 78.4546431066914 -0.0313173506757512 0.249441600155177 -0.125549830726987 0.9000882778734 0.961181397448549
"0_3R_14893600_14896000_3R_15094400_15096800" 1.82690222934448 2.00194283971459 1.24757627391953 1.6046656878341 0.108567396913717 NA
"0_2L_6722400_6724800_2L_6919200_6921600" 1.33071743787375 2.53350411220751 1.68078534699936 1.50733353115583 0.131725186888974 NA
"0_2L_3199200_3201600_2L_3264800_3267200" 15.4555791970208 1.13169763267739 0.725379493139892 1.56014561120098 0.118725475046317 0.358442843899014
"0_3R_6647200_6649600_3R_6654400_6656800" 143.567343576131 -0.266791526369467 0.171360318177634 -1.55690377566239 0.119493332904647 0.359981234213624
"0_X_2292800_2295200_X_2305600_2308000" 60.5888438863604 1.12282602767937 0.310177079312538 3.61995164235845 0.000294658078689752 0.00688428420211511
"0_3R_17718400_17720800_3R_17792800_17795200" 6.55539835751081 0.908849705174542 0.776398404421383 1.17059708005437 0.241760771578949 NA
"0_X_11170400_11172800_X_11304000_11306400" 2.90459992270057 2.09446276999668 1.54711553998643 1.35378561966681 0.175804782822539 NA
"0_3R_29502400_29504800_3R_29590400_29592800" 6.3689673658336 0.995950483912264 0.708882199402897 1.40495908170803 0.160033446181255 NA
"0_X_18664800_18667200_X_18692000_18694400" 49.9366199480498 0.701571907110496 0.338435127489408 2.07298784944377 0.0381734103728094 0.182484142623169
"0_3L_1356800_1359200_3L_1488000_1490400" 4.44069431450382 0.788523148664617 0.805061546344617 0.979456977227278 0.327354236324746 NA
"0_3L_13112800_13115200_3L_13227200_13229600" 18.9287830134579 3.24710141368913 0.775527776493616 4.18695694997568 2.82719423978589e-05 0.00110718311561901
"0_X_8455200_8457600_X_8464000_8466400" 89.8272674158547 -1.65088043622825 0.217242186996765 -7.59926264346085 2.97822788776328e-14 1.11331573404387e-11
"0_2R_5700800_5703200_2R_5980000_5982400" 1.82983114642942 4.75075930839502 1.62842792335943 2.91738998100343 0.00352974146697197 NA
"0_3R_19238400_19240800_3R_19776800_19779200" 0.849883900601309 4.4184172470653 1.75265504410295 2.52098509739933 0.0117026808221996 NA
"0_3L_22407200_22409600_3L_22571200_22573600" 8.5924947262947 2.52154622073805 0.917552499586655 2.74812201140967 0.00599377001199109 NA
"0_X_16556800_16559200_X_16565600_16568000" 301.779230786812 -2.63939275330395 0.310845974106812 -8.4909986718921 2.04868912928309e-17 9.36023299956896e-15
"0_2L_12616800_12619200_2L_12677600_12680000" 27.8779026601978 1.45504478704317 0.551656504015116 2.63759200961637 0.00834969709596569 0.0713803626998148
"0_2R_17849600_17852000_2R_18125600_18128000" 1.70788952806889 3.90538440181433 1.65178908011672 2.3643360092551 0.0180624220805553 NA
"0_2L_16048800_16051200_2L_16196800_16199200" 6.40941974552096 1.73195415354475 0.852040073177971 2.03271443218022 0.0420813823507158 NA
"0_2R_16206400_16208800_2R_16217600_16220000" 50.4527671123906 0.434190783668297 0.287117965395577 1.51223829923039 0.130473251101503 0.376374071236603
"0_2L_12520000_12522400_2L_12544800_12547200" 13.0122545273297 2.91468564751226 0.78560497943186 3.71011605555266 0.000207164257727584 0.00537740062023252
"0_3L_18683200_18685600_3L_18742400_18744800" 8.68296258023801 1.77165135584604 0.916082595797451 1.93394281691797 0.0531201589545151 NA
"0_3R_14942400_14944800_3R_15158400_15160800" 1.52911046083504 1.68251503520056 1.69423403370722 0.993083010803991 0.320669502571259 NA
"0_2L_2856000_2858400_2L_2872800_2875200" 18.3666645379869 1.10726436320206 0.454171053084619 2.43798973026086 0.0147691935879059 0.100932932221571
"0_3L_9988000_9990400_3L_10181600_10184000" 3.00206827556555 2.21486627470073 1.55698835851258 1.42253232825493 0.154871773441844 NA
