"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"0_2L_20769600_20772000_2L_20782400_20784800" 56.4405645533813 -0.729436202196568 0.292313706837493 -2.49538829392659 0.0125819363776119 0.0867330134767189
"0_2L_19588800_19591200_2L_20228000_20230400" 1.24051331283653 -4.07922170780085 1.40758539646441 -2.89802786960356 0.00375517219230587 NA
"0_X_11583200_11585600_X_11604000_11606400" 28.3376588520273 0.505706290680435 0.306897764944256 1.64780050050964 0.0993936163070475 0.318029435667572
"0_2L_4454400_4456800_2L_4837600_4840000" 1.8198268587861 -0.782963868579101 0.911486558808038 -0.858996614939657 0.390342383581649 NA
"0_2L_12822400_12824800_2L_12852800_12855200" 30.3749118069409 -0.435343547736792 0.349392552812052 -1.24600122192924 0.21276394658129 0.484648077470842
"0_2R_17801600_17804000_2R_17820800_17823200" 19.6487054490423 -1.14937122706147 0.396192725748136 -2.90104071166652 0.00371925554084828 0.0385782963077971
"0_3L_15926400_15928800_3L_15948800_15951200" 19.8106342538833 -0.0537479739475301 0.373848657590852 -0.143769337822133 0.885682616162784 0.948287604870271
"0_X_11360000_11362400_X_11365600_11368000" 93.3990572621302 -0.0363486036622308 0.188303517650371 -0.193031994918546 0.846933910965588 0.933905053370486
"0_X_3368800_3371200_X_3450400_3452800" 24.7497693884938 -1.53591454571371 0.459167619198809 -3.34499751614388 0.000822833072800651 0.0124883676878196
"0_3R_8562400_8564800_3R_8651200_8653600" 7.04628823880991 -0.625044193325302 0.578814857523398 -1.07986895153263 0.280200541106784 NA
"0_3L_672000_674400_3L_748000_750400" 20.5337875908786 -2.34548043426938 0.56341763278505 -4.16295177464601 3.14159737972227e-05 0.00100909890303278
"0_2L_3538400_3540800_2L_3612000_3614400" 13.2111491655244 -0.889465677128754 0.540741958633425 -1.64489857487041 0.0999907288779208 0.318120719240074
"0_2R_18588000_18590400_2R_18604000_18606400" 64.8669329491083 0.654762027790272 0.211045560793133 3.1024676630468 0.00191914513623212 0.023748110169386
"0_3R_14107200_14109600_3R_14285600_14288000" 1.55695999590986 -5.003891724493 1.6576543367084 -3.0186581205037 0.00253896869432477 NA
"0_3L_9018400_9020800_3L_9040000_9042400" 73.6847038808118 -0.174439183469734 0.271900694831866 -0.641554754310583 0.521162318599906 0.754860483982882
"0_2L_18318400_18320800_2L_18363200_18365600" 17.9775417023885 -0.331792554976092 0.427864555894332 -0.775461651135303 0.438066917471819 0.69080956449508
"0_X_16920800_16923200_X_17056800_17059200" 2.0221136064981 0.135094798589154 0.934145437841676 0.144618592690757 0.885012016716723 NA
"0_3R_16718400_16720800_3R_16729600_16732000" 78.4546431066914 -0.348737330959906 0.238698104357958 -1.4609974884297 0.144016130685993 0.388088024664579
"0_3R_14893600_14896000_3R_15094400_15096800" 1.82690222934448 -2.08758386067083 1.10632108929613 -1.88696019706087 0.0591656794282698 NA
"0_2L_6722400_6724800_2L_6919200_6921600" 1.33071743787375 -3.20126159472622 1.68782938962442 -1.89667368894351 0.0578710183465151 NA
"0_2L_3199200_3201600_2L_3264800_3267200" 15.4555791970208 -1.12086886959147 0.608808831400782 -1.84108510221922 0.0656090884892955 0.247879743456297
"0_3R_6647200_6649600_3R_6654400_6656800" 143.567343576131 0.118213261697284 0.158815319701358 0.744344197521856 0.456668269042787 0.703036074706677
"0_X_2292800_2295200_X_2305600_2308000" 60.5888438863604 -1.27055351553903 0.278225856340679 -4.56662630946593 4.95636433606327e-06 0.000231416227608562
"0_3R_17718400_17720800_3R_17792800_17795200" 6.55539835751081 -0.586941508990533 0.629282040895512 -0.932716128614245 0.350966555164349 NA
"0_X_11170400_11172800_X_11304000_11306400" 2.90459992270057 -1.17939419427305 1.04320593569825 -1.13054781794703 0.258245461271273 NA
"0_3R_29502400_29504800_3R_29590400_29592800" 6.3689673658336 -1.4293136291826 0.673476455739382 -2.12229190345402 0.0338132329728873 NA
"0_X_18664800_18667200_X_18692000_18694400" 49.9366199480498 -0.855089877692043 0.305742544189748 -2.79676444754566 0.00516171501350725 0.0483999934437086
"0_3L_1356800_1359200_3L_1488000_1490400" 4.44069431450382 -2.1816601000462 0.960649594676148 -2.27102588929075 0.0231454107520825 NA
"0_3L_13112800_13115200_3L_13227200_13229600" 18.9287830134579 -2.89019768178331 0.583703943151324 -4.95147876880803 7.36516561719417e-07 4.69814578595386e-05
"0_X_8455200_8457600_X_8464000_8466400" 89.8272674158547 1.60760269511446 0.208780310998783 7.69997270060506 1.36095303076771e-14 5.13646356362245e-12
"0_2R_5700800_5703200_2R_5980000_5982400" 1.82983114642942 -3.97690386457493 1.60678257515361 -2.47507281076578 0.0133209015577267 NA
"0_3R_19238400_19240800_3R_19776800_19779200" 0.849883900601309 -5.0613455524707 1.75265504410295 -2.88781615612284 0.00387926534309004 NA
"0_3L_22407200_22409600_3L_22571200_22573600" 8.5924947262947 -1.59948972538414 0.619886367832617 -2.58029504823057 0.00987159333355274 NA
"0_X_16556800_16559200_X_16565600_16568000" 301.779230786812 2.48506523304599 0.309659488686544 8.02515448044781 1.01398262461075e-15 4.17484300623826e-13
"0_2L_12616800_12619200_2L_12677600_12680000" 27.8779026601978 -1.29931036258726 0.451844197635784 -2.87557164479644 0.0040329660835781 0.040953595050505
"0_2R_17849600_17852000_2R_18125600_18128000" 1.70788952806889 -2.10169771902254 1.29299129522215 -1.62545388108081 0.104065883081494 NA
"0_2L_16048800_16051200_2L_16196800_16199200" 6.40941974552096 -1.594607135789 0.709689087819427 -2.24690947508937 0.0246458130510157 NA
"0_2R_16206400_16208800_2R_16217600_16220000" 50.4527671123906 -0.255900695361645 0.243665180147538 -1.05021445906509 0.293619523235312 0.57003172515484
"0_2L_12520000_12522400_2L_12544800_12547200" 13.0122545273297 -1.5865165668729 0.475296585749444 -3.33795069108542 0.000843987253093728 0.0126017017374762
"0_3L_18683200_18685600_3L_18742400_18744800" 8.68296258023801 -1.42702152692934 0.70051276976155 -2.03710994078678 0.041639025947271 0.187272242815482
"0_3R_14942400_14944800_3R_15158400_15160800" 1.52911046083504 -1.303606151723 1.37784337800523 -0.946120707572943 0.344087023019162 NA
"0_2L_2856000_2858400_2L_2872800_2875200" 18.3666645379869 -0.909686686442634 0.37826210669641 -2.40491096078186 0.0161764065699979 0.102465657839889
"0_3L_9988000_9990400_3L_10181600_10184000" 3.00206827556555 -2.87562546210275 1.56325196224947 -1.83951501840102 0.0658394710007564 NA
"0_3R_14166400_14168800_3R_14249600_14252000" 9.71749043513684 -0.894687704602197 0.713920987287514 -1.2532026940425 0.210131949776981 0.481366676565704
"0_3R_25079200_25081600_3R_25093600_25096000" 55.0231045358437 -0.292119833923382 0.274387323329544 -1.0646258375885 0.287045282759722 0.565918196096944
"0_X_19297600_19300000_X_19321600_19324000" 16.1748994089877 -1.41601754901508 0.499123485948982 -2.83700845357498 0.00455384062700446 0.0447382737520677
"0_2L_3538400_3540800_2L_3605600_3608000" 70.1119869858785 -0.591219527062481 0.310756541612613 -1.90251675473816 0.0571036305636431 0.229886526953546
"0_2R_12438400_12440800_2R_12448000_12450400" 117.642835875475 0.833922949592468 0.198592940845695 4.1991570598696 2.67910450861331e-05 0.00090371880154808
"0_X_16792800_16795200_X_17140800_17143200" 0.73168731604283 -1.71060750735839 1.6244363932275 -1.05304677640205 0.292319554222027 NA
"0_X_843200_845600_X_884000_886400" 22.5662814537168 -0.673831904979752 0.423554623313889 -1.59089729609771 0.111632691188836 0.335268208484242
"0_X_3484800_3487200_X_3571200_3573600" 6.53867159739292 -1.66451712987832 0.770608613571235 -2.1600032760657 0.0307724159563406 NA
"0_2L_11580000_11582400_2L_11764800_11767200" 3.78028869509349 -1.81862527565119 0.890963682129966 -2.0411890093023 0.0412320437340388 NA
"0_3L_19662400_19664800_3L_19681600_19684000" 54.120005575432 -0.576991026433738 0.303714833352343 -1.89977888160755 0.057462143455121 0.230714581301634
"0_2R_22545600_22548000_2R_22560000_22562400" 28.2207393103795 -1.89489391350781 0.39054464576767 -4.85192649302139 1.22267942793947e-06 7.08833749963643e-05
"0_3R_28635200_28637600_3R_28670400_28672800" 17.7535920490247 -1.81128717164552 0.564976904153213 -3.2059490544313 0.00134617819734446 0.0184194593830002
"0_2R_8029600_8032000_2R_8049600_8052000" 54.7165855333459 -0.404976933878087 0.289765517816563 -1.39760223000191 0.162232548336992 0.411900125995729
