"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"0_2L_20769600_20772000_2L_20782400_20784800" 56.4405645533813 0.559839019865582 0.373247416962124 1.4999139831218 0.133636685373686 1
"0_2L_19588800_19591200_2L_20228000_20230400" 1.24051331283653 -1.78369552943532 2.08188442931692 -0.856769715128021 0.391572165964964 1
"0_X_11583200_11585600_X_11604000_11606400" 28.3376588520273 -0.443079849888405 0.407557080143104 -1.08716023221294 0.276966002461427 1
"0_2L_4454400_4456800_2L_4837600_4840000" 1.8198268587861 0.153369410894109 1.14147442507665 0.134360794709712 0.893117281761585 1
"0_2L_12822400_12824800_2L_12852800_12855200" 30.3749118069409 -0.0541378323511568 0.492111050001497 -0.110011413787583 0.912400322966478 1
"0_2R_17801600_17804000_2R_17820800_17823200" 19.6487054490423 0.178183595884056 0.545179209955892 0.326834906082483 0.743792756768014 1
"0_3L_15926400_15928800_3L_15948800_15951200" 19.8106342538833 -0.344753687200869 0.526804646231177 -0.654424158304748 0.512838574320574 1
"0_X_11360000_11362400_X_11365600_11368000" 93.3990572621302 -0.315026593667918 0.249800543915316 -1.26111252093476 0.207268310093513 1
"0_X_3368800_3371200_X_3450400_3452800" 24.7497693884938 0.0426523613131426 0.664670337580961 0.0641707007241726 0.948834306731253 1
"0_3R_8562400_8564800_3R_8651200_8653600" 7.04628823880991 0.00449310191070988 0.797623589202099 0.00563311061951483 0.995505451777526 1
"0_3L_672000_674400_3L_748000_750400" 20.5337875908786 0.289766806907914 0.792068766494316 0.365835416273788 0.71448789069675 1
"0_2L_3538400_3540800_2L_3612000_3614400" 13.2111491655244 -1.22042975974991 0.993867057032841 -1.22796077313747 0.219461693799394 1
"0_2R_18588000_18590400_2R_18604000_18606400" 64.8669329491083 0.0740009106365868 0.26093888359229 0.283594800505896 0.776720922184553 1
"0_3R_14107200_14109600_3R_14285600_14288000" 1.55695999590986 0 2.22669325026713 0 1 1
"0_3L_9018400_9020800_3L_9040000_9042400" 73.6847038808118 0.486979704880948 0.34222228737204 1.42299237323353 0.154738366180173 1
"0_2L_18318400_18320800_2L_18363200_18365600" 17.9775417023885 -0.157666277191107 0.591841234153434 -0.26639961545875 0.789931461349556 1
"0_X_16920800_16923200_X_17056800_17059200" 2.0221136064981 -1.9050701786692 1.6920438319484 -1.12589883471015 0.260208342665933 1
"0_3R_16718400_16720800_3R_16729600_16732000" 78.4546431066914 0.380054681635657 0.296853960933631 1.28027492185165 0.200448464318175 1
"0_3R_14893600_14896000_3R_15094400_15096800" 1.82690222934448 0.0856410209562467 1.52757256238364 0.0560634715922179 0.955291243595223 1
"0_2L_6722400_6724800_2L_6919200_6921600" 1.33071743787375 0.66775748251871 2.23523335083874 0.298741731939595 0.765137112753566 1
"0_2L_3199200_3201600_2L_3264800_3267200" 15.4555791970208 -0.0108287630859204 0.886616629375364 -0.0122135799477949 0.990255215402205 1
"0_3R_6647200_6649600_3R_6654400_6656800" 143.567343576131 0.148578264672183 0.19652134078225 0.756041374849007 0.449624389391563 1
"0_X_2292800_2295200_X_2305600_2308000" 60.5888438863604 0.147727487859664 0.377347042539034 0.391489719558044 0.695435286153156 1
"0_3R_17718400_17720800_3R_17792800_17795200" 6.55539835751081 -0.321908196184009 0.908340098007181 -0.354391705144635 0.723045350060724 1
"0_X_11170400_11172800_X_11304000_11306400" 2.90459992270057 -0.915068575723631 1.75242751733902 -0.522171996655885 0.60155058171639 1
"0_3R_29502400_29504800_3R_29590400_29592800" 6.3689673658336 0.433363145270336 0.90056680224336 0.48121154831691 0.630366154018249 1
"0_X_18664800_18667200_X_18692000_18694400" 49.9366199480498 0.153517970581547 0.409946598452667 0.374482850110227 0.708045113575337 1
"0_3L_1356800_1359200_3L_1488000_1490400" 4.44069431450382 1.39313695138158 1.16320611499564 1.19766989996163 0.231045551839808 1
"0_3L_13112800_13115200_3L_13227200_13229600" 18.9287830134579 -0.356903731905827 0.935040267139355 -0.381698782874594 0.702684802979895 1
"0_X_8455200_8457600_X_8464000_8466400" 89.8272674158547 0.0432777411137855 0.234040421233833 0.184915669206329 0.853295180687675 1
"0_2R_5700800_5703200_2R_5980000_5982400" 1.82983114642942 -0.773855443820092 2.18242306939724 -0.354585439767103 0.722900185664222 1
"0_3R_19238400_19240800_3R_19776800_19779200" 0.849883900601309 0 2.31022038478147 0 1 1
"0_3L_22407200_22409600_3L_22571200_22573600" 8.5924947262947 -0.92205649535391 1.04368970156827 -0.883458458935069 0.376988617555546 1
"0_X_16556800_16559200_X_16565600_16568000" 301.779230786812 0.154327520257953 0.35170951826629 0.438792561027895 0.660811850992372 1
"0_2L_12616800_12619200_2L_12677600_12680000" 27.8779026601978 -0.155734424455909 0.664529548663575 -0.234352896374743 0.814711023680544 1
"0_2R_17849600_17852000_2R_18125600_18128000" 1.70788952806889 -1.80368668279178 1.95255604601361 -0.923756676011548 0.355613016407556 1
"0_2L_16048800_16051200_2L_16196800_16199200" 6.40941974552096 -0.137347017755755 1.02451140995828 -0.134060993777851 0.893354343606369 1
"0_2R_16206400_16208800_2R_16217600_16220000" 50.4527671123906 -0.178290088306652 0.332199028582316 -0.536696597420884 0.591477206762226 1
"0_2L_12520000_12522400_2L_12544800_12547200" 13.0122545273297 -1.32816908063937 0.873522712554232 -1.52047458131423 0.128391742475791 1
"0_3L_18683200_18685600_3L_18742400_18744800" 8.68296258023801 -0.344629828916708 1.09183121658444 -0.315643868467884 0.75227283640208 1
"0_3R_14942400_14944800_3R_15158400_15160800" 1.52911046083504 -0.378908883477559 1.98781565836322 -0.190615705175376 0.848826684852251 1
"0_2L_2856000_2858400_2L_2872800_2875200" 18.3666645379869 -0.197577676759426 0.536783443240794 -0.368077069528382 0.712815768363521 1
"0_3L_9988000_9990400_3L_10181600_10184000" 3.00206827556555 0.660759187402026 2.11017507469014 0.313130031402277 0.754181873791044 1
"0_3R_14166400_14168800_3R_14249600_14252000" 9.71749043513684 0.41437483207714 0.955284847093307 0.433770967202064 0.66445476636021 1
"0_3R_25079200_25081600_3R_25093600_25096000" 55.0231045358437 -0.156531327700903 0.38471596058363 -0.406875055205503 0.684099757838536 1
"0_X_19297600_19300000_X_19321600_19324000" 16.1748994089877 0.868346048093518 0.630133183806281 1.37803573975953 0.16819225387348 1
"0_2L_3538400_3540800_2L_3605600_3608000" 70.1119869858785 0.156359621064245 0.421753548136 0.370736942831421 0.710833471675554 1
"0_2R_12438400_12440800_2R_12448000_12450400" 117.642835875475 0.0549226016181659 0.237587043043418 0.231168336937167 0.817184027296373 1
"0_X_16792800_16795200_X_17140800_17143200" 0.73168731604283 1.26716938991732 1.89364357293866 0.669169957866389 0.503387067798283 1
"0_X_843200_845600_X_884000_886400" 22.5662814537168 -0.131908604789 0.605445202108298 -0.217870427133066 0.827530069383444 1
"0_X_3484800_3487200_X_3571200_3573600" 6.53867159739292 -0.662200204739106 1.27830976700249 -0.518027963043653 0.604438759408377 1
"0_2L_11580000_11582400_2L_11764800_11767200" 3.78028869509349 0.226195873166134 1.23195092182172 0.183607860637542 0.85432109606765 1
"0_3L_19662400_19664800_3L_19681600_19684000" 54.120005575432 0.136586716590208 0.415771566950446 0.328513846177672 0.742523176951327 1
"0_2R_22545600_22548000_2R_22560000_22562400" 28.2207393103795 -0.153113724526425 0.567453126597501 -0.269826206517724 0.787293960467087 1
"0_3R_28635200_28637600_3R_28670400_28672800" 17.7535920490247 0.804060840940247 0.731377438822253 1.09937878619149 0.271602879935242 1
"0_2R_8029600_8032000_2R_8049600_8052000" 54.7165855333459 -0.0117689317651864 0.403652814770248 -0.0291560750589217 0.976740113351553 1
