"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"0_2L_20769600_20772000_2L_20782400_20784800" 56.4405645533813 1.40209919306438 0.306585062985246 4.57327953101178 4.80148873615676e-06 0.00028046786753349
"0_2L_19588800_19591200_2L_20228000_20230400" 1.24051331283653 0.0352138115589467 2.08188442931692 0.0169143930676789 0.986504910402433 NA
"0_X_11583200_11585600_X_11604000_11606400" 28.3376588520273 -0.349742790437525 0.348154569829575 -1.00456182611283 0.315107886579241 0.598098110052331
"0_2L_4454400_4456800_2L_4837600_4840000" 1.8198268587861 -0.550826759635588 1.7220806571436 -0.319861184986096 0.749073563145779 NA
"0_2L_12822400_12824800_2L_12852800_12855200" 30.3749118069409 1.4953083440083 0.367605108836192 4.06770283672697 4.74788750158213e-05 0.00174798662845604
"0_2R_17801600_17804000_2R_17820800_17823200" 19.6487054490423 0.115589256432966 0.460366082777636 0.251081173781426 0.801751350924474 0.916694773408291
"0_3L_15926400_15928800_3L_15948800_15951200" 19.8106342538833 0.325958355711077 0.412605222418116 0.790000557435419 0.429527442780847 0.690824202474042
"0_X_11360000_11362400_X_11365600_11368000" 93.3990572621302 0.707318214218514 0.197352700539147 3.58403108893973 0.000338331788507274 0.00810622504888815
"0_X_3368800_3371200_X_3450400_3452800" 24.7497693884938 2.84591477540293 0.484775177599393 5.87058683469707 4.34255257889239e-09 6.04747648269232e-07
"0_3R_8562400_8564800_3R_8651200_8653600" 7.04628823880991 0.517974297497053 0.697586500424742 0.742523396283719 0.457770281842141 0.711593405843426
"0_3L_672000_674400_3L_748000_750400" 20.5337875908786 1.36800742518096 0.643173009419853 2.12696646958945 0.0334228692649943 0.178869591070638
"0_2L_3538400_3540800_2L_3612000_3614400" 13.2111491655244 0.913913923443591 0.618925500085893 1.4766137819766 0.139779195230849 0.400996652328178
"0_2R_18588000_18590400_2R_18604000_18606400" 64.8669329491083 0.0485785667018377 0.228772582048099 0.212344356421279 0.831838392935703 0.931599948215608
"0_3R_14107200_14109600_3R_14285600_14288000" 1.55695999590986 0 2.22669325026713 0 1 NA
"0_3L_9018400_9020800_3L_9040000_9042400" 73.6847038808118 1.82818007763508 0.281173867631024 6.50195586466859 7.92823638943452e-11 1.81386722538277e-08
"0_2L_18318400_18320800_2L_18363200_18365600" 17.9775417023885 0.528240439368185 0.482543162492916 1.09470091056557 0.273647689574489 0.560826191636515
"0_X_16920800_16923200_X_17056800_17059200" 2.0221136064981 0.459472420141053 1.17469839290656 0.391140758270879 0.69569319489949 NA
"0_3R_16718400_16720800_3R_16729600_16732000" 78.4546431066914 1.27447313569231 0.25435002386006 5.0107057839063 5.42307724351255e-07 4.51171854830407e-05
"0_3R_14893600_14896000_3R_15094400_15096800" 1.82690222934448 0.822352100100311 1.53673075021683 0.535130893934592 0.592559348359544 NA
"0_2L_6722400_6724800_2L_6919200_6921600" 1.33071743787375 1.3494324062822 2.25353094115283 0.598808022397012 0.549300911975919 NA
"0_2L_3199200_3201600_2L_3264800_3267200" 15.4555791970208 2.89831438719312 0.629984462498741 4.60061249081823 4.21250453153303e-06 0.000252199103074772
"0_3R_6647200_6649600_3R_6654400_6656800" 143.567343576131 0.636499348584058 0.168540902706188 3.77652746819358 0.000159030028692149 0.00458894758469327
"0_X_2292800_2295200_X_2305600_2308000" 60.5888438863604 1.50064554431302 0.297877169811799 5.03779979264989 4.70913628647644e-07 4.02223027348907e-05
