"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"0_2L_20769600_20772000_2L_20782400_20784800" 56.4405645533813 1.19604364732981 0.289644035473625 4.12935707574313 3.63779056756394e-05 0.00217867277091404
"0_2L_19588800_19591200_2L_20228000_20230400" 1.24051331283653 0.512142241547552 1.71213935887881 0.299124156507286 0.764845315386082 NA
"0_X_11583200_11585600_X_11604000_11606400" 28.3376588520273 -0.357776811591925 0.309599932606983 -1.15561010811362 0.247840671589744 0.572174356499262
"0_2L_4454400_4456800_2L_4837600_4840000" 1.8198268587861 0.333252600360676 1.10305868369458 0.30211683683454 0.762562997866307 NA
"0_2L_12822400_12824800_2L_12852800_12855200" 30.3749118069409 0.9787185281999 0.349496956290638 2.80036352415616 0.00510450867314568 0.0703130771597986
"0_2R_17801600_17804000_2R_17820800_17823200" 19.6487054490423 -0.173344456839594 0.429229158399956 -0.403850608578814 0.686322578499793 0.872629584104066
"0_3L_15926400_15928800_3L_15948800_15951200" 19.8106342538833 0.0898460662534642 0.380846733957838 0.235911347643093 0.813501462605641 0.929782492279616
"0_X_11360000_11362400_X_11365600_11368000" 93.3990572621302 0.700322948215046 0.181341045451885 3.86191083474735 0.000112503629448815 0.00492638006387868
"0_X_3368800_3371200_X_3450400_3452800" 24.7497693884938 2.08035131432976 0.465791443313285 4.46627207131957 7.95943761493676e-06 0.000722258664785701
"0_3R_8562400_8564800_3R_8651200_8653600" 7.04628823880991 0.0653016837719052 0.638252785892203 0.102313198179967 0.918508079651122 0.965963004840593
"0_3L_672000_674400_3L_748000_750400" 20.5337875908786 0.702411507360298 0.613737676181048 1.14448164846424 0.252423944308467 0.575911239033681
"0_2L_3538400_3540800_2L_3612000_3614400" 13.2111491655244 0.819384450803395 0.565385444875808 1.44924928335108 0.147267978876661 0.446824838381341
"0_2R_18588000_18590400_2R_18604000_18606400" 64.8669329491083 -0.219944100413505 0.209239442405971 -1.05115984770579 0.293185180903118 0.611380936082443
"0_3R_14107200_14109600_3R_14285600_14288000" 1.55695999590986 3.11787714793211 1.8352950778886 1.69884242893467 0.0893488768294989 NA
"0_3L_9018400_9020800_3L_9040000_9042400" 73.6847038808118 1.47340249172151 0.263955120337308 5.5820189804943 2.37742424730891e-08 5.24827179664052e-06
"0_2L_18318400_18320800_2L_18363200_18365600" 17.9775417023885 0.552861176677054 0.436030217345369 1.26794234592954 0.204818540327926 0.520798067824006
"0_X_16920800_16923200_X_17056800_17059200" 2.0221136064981 1.19410686672709 0.939966861102003 1.27037123981917 0.203952422847293 NA
"0_3R_16718400_16720800_3R_16729600_16732000" 78.4546431066914 0.922390212287521 0.235141010655658 3.92271092871279 8.7558180666394e-05 0.00403373803085411
"0_3R_14893600_14896000_3R_15094400_15096800" 1.82690222934448 0.0753936805481163 1.38163823107792 0.0545683224828659 0.956482376137621 NA
"0_2L_6722400_6724800_2L_6919200_6921600" 1.33071743787375 2.62085613288525 1.77781641658451 1.47419953401058 0.140427875307028 NA
"0_2L_3199200_3201600_2L_3264800_3267200" 15.4555791970208 1.9598703337148 0.610851736813297 3.208422298902 0.00133465367491354 0.0297294686011877
"0_3R_6647200_6649600_3R_6654400_6656800" 143.567343576131 0.322946603942585 0.15586466006022 2.071968102441 0.0382684160024065 0.219740693613052
"0_X_2292800_2295200_X_2305600_2308000" 60.5888438863604 1.14518079888246 0.28032600758733 4.08517500298543 4.40436083747992e-05 0.00250378368020149
"0_3R_17718400_17720800_3R_17792800_17795200" 6.55539835751081 0.132926936811695 0.677625453325013 0.196165796546515 0.844480398312434 0.940524192997906
"0_X_11170400_11172800_X_11304000_11306400" 2.90459992270057 2.08113293094533 1.06490703709423 1.95428601601134 0.0506674016978883 NA
"0_3R_29502400_29504800_3R_29590400_29592800" 6.3689673658336 0.506953285183382 0.73791130128475 0.687011141177462 0.492075707687767 0.764774687564819
"0_X_18664800_18667200_X_18692000_18694400" 49.9366199480498 0.456448514271705 0.315881719448529 1.44499819447792 0.148458392785209 0.447606389650217
"0_3L_1356800_1359200_3L_1488000_1490400" 4.44069431450382 2.40662056242229 0.991038264238072 2.42838309000364 0.0151663139231627 0.132021880938694
"0_3L_13112800_13115200_3L_13227200_13229600" 18.9287830134579 1.86522414183584 0.616545571807395 3.02528187230015 0.002484015082429 0.04480953713454
"0_X_8455200_8457600_X_8464000_8466400" 89.8272674158547 -1.66668260122899 0.209776773564983 -7.94502924658959 1.94144973960718e-15 1.29192694338971e-12
"0_2R_5700800_5703200_2R_5980000_5982400" 1.82983114642942 1.8065505181646 1.84048038900213 0.981564665920763 0.326314362019239 NA
"0_3R_19238400_19240800_3R_19776800_19779200" 0.849883900601309 3.67314912286474 1.9555965810074 1.87827548817484 0.060343487980092 NA
"0_3L_22407200_22409600_3L_22571200_22573600" 8.5924947262947 0.831705976156156 0.697882255346951 1.19175687558165 0.23335658959979 0.554128458195723
"0_X_16556800_16559200_X_16565600_16568000" 301.779230786812 -2.01804052514543 0.307324118258944 -6.56648927060477 5.1515357496743e-11 2.37327289267688e-08
"0_2L_12616800_12619200_2L_12677600_12680000" 27.8779026601978 1.16527560815191 0.465971075567846 2.50074665413914 0.0123931799122921 0.115973053897996
"0_2R_17849600_17852000_2R_18125600_18128000" 1.70788952806889 1.85032132970946 1.44044211684649 1.28455097783472 0.198949238674976 NA
