"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"0_2L_20769600_20772000_2L_20782400_20784800" 56.4405645533813 -0.206055545734575 0.206713490733656 -0.99681711630554 0.318853288550571 0.981650983459628
"0_2L_19588800_19591200_2L_20228000_20230400" 1.24051331283653 0.476928429988605 1.99959631540524 0.238512356876368 0.811483732466182 NA
"0_X_11583200_11585600_X_11604000_11606400" 28.3376588520273 -0.00803402115440019 0.299200903037995 -0.0268515939384714 0.978578102021457 0.998294954704618
"0_2L_4454400_4456800_2L_4837600_4840000" 1.8198268587861 0.884079359996265 1.73189227915225 0.510470177988793 0.609722102235513 NA
"0_2L_12822400_12824800_2L_12852800_12855200" 30.3749118069409 -0.516589815808405 0.252051551874588 -2.04954031017211 0.040409310342184 0.676158189869817
"0_2R_17801600_17804000_2R_17820800_17823200" 19.6487054490423 -0.28893371327256 0.372391432534505 -0.775887112402319 0.437815642665627 0.986010457333312
"0_3L_15926400_15928800_3L_15948800_15951200" 19.8106342538833 -0.236112289457613 0.326996151936059 -0.72206442815811 0.470254867025701 0.986010457333312
"0_X_11360000_11362400_X_11365600_11368000" 93.3990572621302 -0.00699526600346843 0.153817165905483 -0.0454777980226657 0.963726471196607 0.998294954704618
"0_X_3368800_3371200_X_3450400_3452800" 24.7497693884938 -0.76556346107317 0.303837223690776 -2.51965000131882 0.0117471576045778 0.391998476617275
"0_3R_8562400_8564800_3R_8651200_8653600" 7.04628823880991 -0.452672613725148 0.605178061645647 -0.74799904757652 0.454460732023446 0.986010457333312
"0_3L_672000_674400_3L_748000_750400" 20.5337875908786 -0.665595917820667 0.478396112273576 -1.39130712132552 0.164132315279725 0.920023316467857
"0_2L_3538400_3540800_2L_3612000_3614400" 13.2111491655244 -0.0945294726401968 0.469066409849683 -0.201526842799274 0.840286642447659 0.995287446269727
"0_2R_18588000_18590400_2R_18604000_18606400" 64.8669329491083 -0.268522667115343 0.190749747838457 -1.40772226520976 0.159213326198348 0.920023316467857
"0_3R_14107200_14109600_3R_14285600_14288000" 1.55695999590986 1.9076082360519 1.8352950778886 1.03940137966615 0.298618102656863 NA
"0_3L_9018400_9020800_3L_9040000_9042400" 73.6847038808118 -0.354777585913578 0.19129831250104 -1.85457770784909 0.0636565539047684 0.772023219892895
"0_2L_18318400_18320800_2L_18363200_18365600" 17.9775417023885 0.0246207373088693 0.377521444040747 0.0652167915161182 0.948001391893293 0.998294954704618
