"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"0_2L_20769600_20772000_2L_20782400_20784800" 56.4405645533813 1.63206536218611 0.289350863056197 5.64043716665581 1.6961895819676e-08 1.8791869368672e-06
"0_2L_19588800_19591200_2L_20228000_20230400" 1.24051331283653 4.08904794556722 1.83216753559046 2.23180897278011 0.0256275910490719 NA
"0_X_11583200_11585600_X_11604000_11606400" 28.3376588520273 0.295818810121746 0.362035191956023 0.817099598863526 0.413871512176734 0.694731821336361
"0_2L_4454400_4456800_2L_4837600_4840000" 1.8198268587861 1.71389317828457 0.986093401513048 1.7380637327608 0.0821995844354646 0.301559456514472
"0_2L_12822400_12824800_2L_12852800_12855200" 30.3749118069409 1.01934991002091 0.411731171973018 2.47576569229913 0.0132950797976178 0.0987354972661195
"0_2R_17801600_17804000_2R_17820800_17823200" 19.6487054490423 1.37437691370342 0.441844613668544 3.11054355125494 0.0018674335558794 0.0256804761373205
"0_3L_15926400_15928800_3L_15948800_15951200" 19.8106342538833 0.554554580674727 0.45962813209571 1.20652880437538 0.227613659615246 0.519863253929595
"0_X_11360000_11362400_X_11365600_11368000" 93.3990572621302 0.997283750927688 0.216836519395089 4.59924257090005 4.24029814940373e-06 0.000213808879764165
"0_X_3368800_3371200_X_3450400_3452800" 24.7497693884938 2.16330408228154 0.541085534292943 3.99808153272552 6.38579564733946e-05 0.00197049146020968
"0_3R_8562400_8564800_3R_8651200_8653600" 7.04628823880991 1.17869031455646 0.669304971371891 1.7610661282561 0.078227211147042 0.293465628313041
"0_3L_672000_674400_3L_748000_750400" 20.5337875908786 3.3715510167065 0.615699574334672 5.47596775643351 4.35126922023486e-08 4.44507580342434e-06
"0_2L_3538400_3540800_2L_3612000_3614400" 13.2111491655244 3.73953030754473 0.886260596265803 4.2194477824028 2.44901435286817e-05 0.000891849393502825
"0_2R_18588000_18590400_2R_18604000_18606400" 64.8669329491083 -0.266716464258794 0.227155784519065 -1.17415660280669 0.240332304932983 0.534479477128313
"0_3R_14107200_14109600_3R_14285600_14288000" 1.55695999590986 4.41199739976841 1.67456338178868 2.63471508319723 0.00842079342657478 0.0724704169512442
"0_3L_9018400_9020800_3L_9040000_9042400" 73.6847038808118 1.04380855785944 0.272261267576633 3.8338488876889 0.000126153658018924 0.00326422590123967
"0_2L_18318400_18320800_2L_18363200_18365600" 17.9775417023885 0.747513063916597 0.5061075250115 1.47698468601037 0.139679742344756 0.406457656550094
