"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"0_2L_20769600_20772000_2L_20782400_20784800" 56.4405645533813 0.995860734721884 0.168237792923928 5.91936399909967 3.2318896354304e-09 3.16201094061029e-07
"0_2L_19588800_19591200_2L_20228000_20230400" 1.24051331283653 1.79321017458435 1.397861325618 1.28282408399243 0.19955371439035 NA
"0_X_11583200_11585600_X_11604000_11606400" 28.3376588520273 0.210515771825267 0.246614729710352 0.853622052796753 0.393314435505138 0.747784198259637
"0_2L_4454400_4456800_2L_4837600_4840000" 1.8198268587861 1.534009988818 0.941357951619618 1.62957139330338 0.103192114508063 NA
"0_2L_12822400_12824800_2L_12852800_12855200" 30.3749118069409 -0.0135064505301439 0.22248010000249 -0.0607085781154931 0.951591299935908 0.98647367028021
"0_2R_17801600_17804000_2R_17820800_17823200" 19.6487054490423 1.72590496642707 0.286782081170541 6.01817574997207 1.76393622599586e-09 1.82441403945857e-07
"0_3L_15926400_15928800_3L_15948800_15951200" 19.8106342538833 0.119954827220394 0.280676182262383 0.427378006404039 0.669104024074678 0.898915600183644
"0_X_11360000_11362400_X_11365600_11368000" 93.3990572621302 -0.0180657909552754 0.132296406483969 -0.136555417001931 0.89138221835829 0.970613214154612
"0_X_3368800_3371200_X_3450400_3452800" 24.7497693884938 0.125605129264922 0.260669458174443 0.481855949464037 0.629908280635115 0.883140192060076
"0_3R_8562400_8564800_3R_8651200_8653600" 7.04628823880991 1.11788173269526 0.46811576917535 2.38804545009147 0.0169382469008748 0.149370167554609
"0_3L_672000_674400_3L_748000_750400" 20.5337875908786 2.95890631625412 0.358311275491254 8.25792130654383 1.48231223515566e-16 6.31290622501588e-14
"0_2L_3538400_3540800_2L_3612000_3614400" 13.2111491655244 1.69971609699143 0.342559219282843 4.9618168226499 6.98368417768483e-07 3.77327413779389e-05
"0_2R_18588000_18590400_2R_18604000_18606400" 64.8669329491083 0.0272285467912984 0.165202281244669 0.164819435822271 0.869086105685525 0.96470673143104
"0_3R_14107200_14109600_3R_14285600_14288000" 1.55695999590986 1.96473734246394 1.10195631118432 1.78295393612506 0.0745938020594951 NA
"0_3L_9018400_9020800_3L_9040000_9042400" 73.6847038808118 0.0573857710188837 0.1633475111551 0.35131096037573 0.725355073156658 0.920036918299616
"0_2L_18318400_18320800_2L_18363200_18365600" 17.9775417023885 0.0369856100484358 0.309824354864579 0.119376057652414 0.904977428865056 0.976050485828727
"0_X_16920800_16923200_X_17056800_17059200" 2.0221136064981 -1.77826088049517 0.867702760376575 -2.04938944728425 0.0404240483084389 NA
"0_3R_16718400_16720800_3R_16729600_16732000" 78.4546431066914 -0.556710178373557 0.172196675707478 -3.23299027746201 0.00122501731781508 0.0229770087590185
"0_3R_14893600_14896000_3R_15094400_15096800" 1.82690222934448 2.13345459185416 1.09043781307617 1.95651193151088 0.0504048782961808 NA
"0_2L_6722400_6724800_2L_6919200_6921600" 1.33071743787375 0.129044146786945 1.07206461163929 0.120369747668122 0.904190254993943 NA
"0_2L_3199200_3201600_2L_3264800_3267200" 15.4555791970208 0.0956114629868343 0.329422254418776 0.290239841736038 0.771632758067581 0.933878036125272
"0_3R_6647200_6649600_3R_6654400_6656800" 143.567343576131 0.334153059901652 0.115662691530514 2.88903064142767 0.00386431416824144 0.0528877780303744
"0_X_2292800_2295200_X_2305600_2308000" 60.5888438863604 0.61390410509994 0.174669603846122 3.5146590567685 0.000440318898402529 0.01018501221864
"0_3R_17718400_17720800_3R_17792800_17795200" 6.55539835751081 1.1833744476721 0.48487061853831 2.44059838321302 0.0146629513701862 0.135927999897757
"0_X_11170400_11172800_X_11304000_11306400" 2.90459992270057 -0.0163085653419854 0.676063417768797 -0.0241228336178998 0.980754630027302 0.993794754569302
"0_3R_29502400_29504800_3R_29590400_29592800" 6.3689673658336 1.16073471699547 0.498120773298141 2.33022748541494 0.0197941310242473 0.164534453060334
"0_X_18664800_18667200_X_18692000_18694400" 49.9366199480498 1.88275913176555 0.203169221268446 9.26695057455516 1.91543740057782e-20 2.3112944633639e-17
"0_3L_1356800_1359200_3L_1488000_1490400" 4.44069431450382 0.0794521141869133 0.551273198050614 0.144124754237768 0.885401957735125 0.968756882991001
"0_3L_13112800_13115200_3L_13227200_13229600" 18.9287830134579 1.90042048990969 0.327399836424783 5.8045859480638 6.45252555451838e-09 5.98926730957859e-07
"0_X_8455200_8457600_X_8464000_8466400" 89.8272674158547 -0.114083928337908 0.192694699305604 -0.592044974506415 0.553820472317439 0.842767100460588
"0_2R_5700800_5703200_2R_5980000_5982400" 1.82983114642942 3.2274181403647 1.13544376632242 2.84242886886241 0.00447712204325087 NA
"0_3R_19238400_19240800_3R_19776800_19779200" 0.849883900601309 0.475863598557737 1.41099485093156 0.337253958257583 0.73592546454164 NA
"0_3L_22407200_22409600_3L_22571200_22573600" 8.5924947262947 1.94499983854304 0.488156171362444 3.98438031237942 6.76564458991511e-05 0.00217703408137713
"0_X_16556800_16559200_X_16565600_16568000" 301.779230786812 0.490770574908624 0.254706715441315 1.92680657853208 0.0540037393422062 0.29891978045686
"0_2L_12616800_12619200_2L_12677600_12680000" 27.8779026601978 1.63793879504506 0.271108084346928 6.04164497340863 1.52550848749617e-09 1.60067847093801e-07
"0_2R_17849600_17852000_2R_18125600_18128000" 1.70788952806889 1.74203281662651 0.990250771131989 1.75918349918085 0.0785463460160997 NA
"0_2L_16048800_16051200_2L_16196800_16199200" 6.40941974552096 2.21105206890057 0.597424934485157 3.70097051741904 0.000214776432388183 0.00580216929287479
"0_2R_16206400_16208800_2R_16217600_16220000" 50.4527671123906 -0.0209919121201074 0.172626639308569 -0.121602970458021 0.90321346086575 0.976009769651945
"0_2L_12520000_12522400_2L_12544800_12547200" 13.0122545273297 1.62389142379235 0.387774082476238 4.18772552673595 2.81763979605605e-05 0.00101998560617229
"0_3L_18683200_18685600_3L_18742400_18744800" 8.68296258023801 1.57421287342454 0.429255672091506 3.66730826352124 0.000245117224031945 0.00631547580779816
"0_3R_14942400_14944800_3R_15158400_15160800" 1.52911046083504 -0.287927348495535 0.974070688784562 -0.295591841342448 0.767541805025907 NA
"0_2L_2856000_2858400_2L_2872800_2875200" 18.3666645379869 -0.109970595279863 0.294688454655558 -0.373175784604119 0.709017617624034 0.913993352227099
"0_3L_9988000_9990400_3L_10181600_10184000" 3.00206827556555 -0.35492172961206 0.678456937739131 -0.523130813275769 0.60088322399878 0.869315921610068
"0_3R_14166400_14168800_3R_14249600_14252000" 9.71749043513684 -0.198766108965998 0.3865037541681 -0.514266955553425 0.607065361383552 0.872227270572914
"0_3R_25079200_25081600_3R_25093600_25096000" 55.0231045358437 0.766867560259045 0.1644372967135 4.66358651951792 3.10745448585601e-06 0.000146090717386997
"0_X_19297600_19300000_X_19321600_19324000" 16.1748994089877 0.421782472328308 0.294328795647587 1.43303162505828 0.151848799744413 0.497910013654688
"0_2L_3538400_3540800_2L_3605600_3608000" 70.1119869858785 1.16414394672255 0.178806440770584 6.51063765771276 7.48324551334212e-11 9.50503465203455e-09
"0_2R_12438400_12440800_2R_12448000_12450400" 117.642835875475 0.179741993805963 0.139926019176401 1.28455018490426 0.19894951592205 0.565480663657673
"0_X_16792800_16795200_X_17140800_17143200" 0.73168731604283 2.5456134064544 1.44436835441361 1.7624405842704 0.0779948867461592 NA
"0_X_843200_845600_X_884000_886400" 22.5662814537168 0.8295837087341 0.253238625061432 3.27589722354895 0.0010532688253465 0.0207219192812735
"0_X_3484800_3487200_X_3571200_3573600" 6.53867159739292 0.986300409796056 0.469120936017171 2.10244381367784 0.0355144165973161 0.236110538259475
"0_2L_11580000_11582400_2L_11764800_11767200" 3.78028869509349 0.638574670708801 0.628559412745986 1.01593366953024 0.309660974119957 0.680919706054558
"0_3L_19662400_19664800_3L_19681600_19684000" 54.120005575432 1.41872665213245 0.173030904476999 8.19926738764195 2.41856427111903e-16 9.21600280152724e-14
"0_2R_22545600_22548000_2R_22560000_22562400" 28.2207393103795 1.48372777184679 0.275209832856466 5.39126003038061 6.99653453652385e-08 5.01533762816165e-06
"0_3R_28635200_28637600_3R_28670400_28672800" 17.7535920490247 0.842224139809035 0.303624805872299 2.77389766422202 0.00553890988659936 0.0692602894282891
"0_2R_8029600_8032000_2R_8049600_8052000" 54.7165855333459 0.664736539185799 0.163263752985992 4.07155003500888 4.67013278520415e-05 0.00156535932244806
"0_3L_18185600_18188000_3L_18232800_18235200" 37.186854239756 0.514693295934966 0.209037203636874 2.46220905647522 0.0138084153742001 0.13085461689687
"0_3R_29056000_29058400_3R_29060800_29063200" 266.841082092274 0.230371056371352 0.122025211641803 1.88789720805886 0.0590397514418652 0.313571988441478
"0_X_3720000_3722400_X_3739200_3741600" 16.2366995975433 0.0283457824164026 0.314526130237272 0.0901221860168476 0.928190119064776 0.980882891332461
"0_2L_5101600_5104000_2L_5168800_5171200" 7.6548603470993 -0.268271933949585 0.402966619068046 -0.665742325183229 0.505575815092817 0.817612772994793
"0_X_7967200_7969600_X_8060000_8062400" 2.41762242264228 0.923547071095658 0.823171790052339 1.12193722167877 0.261889133178438 0.636054117481346
