nc1-8_1_2,nc1-8_2_1,nc1-8_2_2,nc1-8_1_1,s10-12_1_1,s10-12_1_2,s10-12_2_1,s10-12_2_2,nc14_1_1,nc14_1_2,nc14_2_1,nc14_2_2,nc14.FED_1_1,nc14.FED_1_2,nc14.FED.rerun_1_1,nc14.FED.rerun_1_2,nc12.mitotic.FED_1_1,nc12.mitotic.FED_1_2,nc12.mitotic.FED.rerun_1_1,nc12.mitotic.FED.rerun_1_2,shifted,places
18,79,85,49,109,89,179,129,60,48,47,103,46,63,87,104,18,19,21,19,0,2L_20769600_20772000_2L_20782400_20784800
1,33,21,20,2,1,1,2,0,0,0,1,0,0,0,0,0,0,0,2,0,2L_19588800_19591200_2L_20228000_20230400
11,63,59,27,32,38,56,30,24,35,18,54,25,26,37,40,16,13,25,37,0,X_11583200_11585600_X_11604000_11606400
2,8,8,8,3,5,8,3,0,0,1,4,1,0,1,0,2,3,2,5,0,2L_4454400_4456800_2L_4837600_4840000
17,56,60,32,40,33,43,44,43,31,27,52,45,36,61,69,12,5,18,10,0,2L_12822400_12824800_2L_12852800_12855200
15,65,72,32,40,38,51,49,8,12,8,26,4,12,20,19,7,8,9,12,0,2R_17801600_17804000_2R_17820800_17823200
13,35,76,15,21,21,39,23,23,17,15,40,23,23,34,33,6,9,13,17,0,3L_15926400_15928800_3L_15948800_15951200
36,111,150,53,127,92,164,140,125,117,85,208,116,100,197,177,43,29,75,66,0,X_11360000_11362400_X_11365600_11368000
15,60,47,29,24,31,44,39,31,18,19,31,31,30,36,50,4,5,8,6,0,X_3368800_3371200_X_3450400_3452800
8,30,21,11,11,11,16,17,5,3,5,7,3,4,9,5,4,3,6,5,0,3R_8562400_8564800_3R_8651200_8653600
12,90,56,53,57,53,98,76,8,8,4,10,10,4,14,11,3,4,4,5,0,3L_672000_674400_3L_748000_750400
6,43,30,17,37,39,44,37,13,8,6,14,8,5,15,8,2,1,7,4,0,2L_3538400_3540800_2L_3612000_3614400
34,96,122,44,68,61,101,87,90,62,35,123,80,61,115,114,46,38,76,51,0,2R_18588000_18590400_2R_18604000_18606400
7,13,13,2,2,4,6,5,0,1,1,1,0,0,0,0,0,0,0,0,0,3R_14107200_14109600_3R_14285600_14288000
27,91,98,36,114,72,157,113,110,83,84,142,87,111,177,158,23,24,27,26,0,3L_9018400_9020800_3L_9040000_9042400
13,52,50,21,10,30,23,35,22,17,20,25,23,14,24,24,8,5,14,9,0,2L_18318400_18320800_2L_18363200_18365600
2,5,7,3,1,2,2,1,6,2,3,3,0,1,3,1,0,1,4,2,0,X_16920800_16923200_X_17056800_17059200
52,89,181,45,65,58,92,91,93,98,65,207,110,107,177,200,38,34,48,40,0,3R_16718400_16720800_3R_16729600_16732000
4,11,15,7,1,5,5,6,0,0,0,3,0,1,0,2,0,2,1,2,0,3R_14893600_14896000_3R_15094400_15096800
5,13,6,3,0,1,4,4,0,2,2,1,0,0,0,1,0,1,0,1,0,2L_6722400_6724800_2L_6919200_6921600
7,31,33,12,15,25,18,27,25,14,6,25,17,26,37,34,4,1,8,0,0,2L_3199200_3201600_2L_3264800_3267200
50,191,231,101,201,161,271,209,177,133,93,296,173,164,295,290,92,60,124,93,0,3R_6647200_6649600_3R_6654400_6656800
29,134,122,67,92,82,134,117,56,56,54,106,77,49,107,112,18,15,26,21,0,X_2292800_2295200_X_2305600_2308000
5,16,22,19,8,16,19,16,5,5,2,10,4,2,6,3,3,2,8,2,0,3R_17718400_17720800_3R_17792800_17795200
4,4,10,3,4,5,5,5,2,2,4,6,2,1,1,6,0,1,1,2,0,X_11170400_11172800_X_11304000_11306400
7,30,25,16,12,13,10,13,3,3,3,9,6,3,3,4,3,3,4,3,0,3R_29502400_29504800_3R_29590400_29592800
23,108,85,59,134,110,177,153,30,33,17,70,38,27,45,57,17,12,24,17,0,X_18664800_18667200_X_18692000_18694400
5,23,17,9,8,6,9,6,3,6,5,6,1,2,3,3,1,4,0,3,0,3L_1356800_1359200_3L_1488000_1490400
20,104,60,55,41,39,64,65,9,8,8,19,7,9,9,16,2,2,3,5,0,3L_13112800_13115200_3L_13227200_13229600
35,85,110,48,41,50,68,70,37,53,53,103,142,102,226,184,100,103,152,161,0,X_8455200_8457600_X_8464000_8466400
3,14,7,11,3,8,7,8,0,0,0,2,0,0,1,1,0,0,1,0,0,2R_5700800_5703200_2R_5980000_5982400
2,9,9,4,1,0,2,1,0,1,0,1,1,0,1,1,0,0,0,0,0,3R_19238400_19240800_3R_19776800_19779200
2,47,32,20,20,17,25,24,2,5,2,8,5,5,11,7,0,3,4,5,0,3L_22407200_22409600_3L_22571200_22573600
35,261,167,131,258,191,356,258,126,139,126,400,379,316,545,549,449,404,668,554,0,X_16556800_16559200_X_16565600_16568000
15,79,42,41,65,60,95,79,28,13,16,24,25,21,35,35,4,5,11,5,0,2L_12616800_12619200_2L_12677600_12680000
0,10,4,7,3,4,6,7,1,1,1,1,1,1,1,0,0,0,0,2,0,2R_17849600_17852000_2R_18125600_18128000
5,43,15,15,12,11,24,19,1,3,3,3,5,2,6,6,2,2,4,3,0,2L_16048800_16051200_2L_16196800_16199200
25,107,92,55,60,58,93,72,75,55,42,119,44,46,80,84,21,19,42,30,0,2R_16206400_16208800_2R_16217600_16220000
17,73,90,31,19,28,18,26,7,2,7,14,4,6,9,4,3,1,11,5,0,2L_12520000_12522400_2L_12544800_12547200
7,31,30,11,18,15,17,36,4,8,2,12,12,7,5,6,2,1,3,3,0,3L_18683200_18685600_3L_18742400_18744800
1,2,14,0,2,2,3,3,2,3,1,2,0,1,0,3,0,1,0,2,0,3R_14942400_14944800_3R_15158400_15160800
20,58,81,35,13,20,25,23,16,19,11,45,13,11,16,21,11,4,9,18,0,2L_2856000_2858400_2L_2872800_2875200
4,7,7,4,5,3,7,3,0,6,3,8,4,1,3,1,0,1,1,0,0,3L_9988000_9990400_3L_10181600_10184000
4,20,20,5,9,19,14,17,18,14,9,12,9,7,14,17,2,3,4,2,0,3R_14166400_14168800_3R_14249600_14252000
21,66,88,34,89,85,142,130,71,60,39,87,61,62,113,118,11,16,28,20,0,3R_25079200_25081600_3R_25093600_25096000
13,41,47,18,19,19,35,33,16,18,14,26,15,11,16,30,9,5,4,8,0,X_19297600_19300000_X_19321600_19324000
23,106,73,52,142,151,206,199,57,58,58,84,69,70,104,107,16,10,21,16,0,2L_3538400_3540800_2L_3605600_3608000
24,112,114,59,187,135,263,157,146,145,101,272,145,151,201,260,70,46,104,73,0,2R_12438400_12440800_2R_12448000_12450400
1,6,5,1,4,0,7,1,0,0,0,1,0,0,0,0,2,1,2,0,0,X_16792800_16795200_X_17140800_17143200
