"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"0_2L_20769600_20772000_2L_20782400_20784800" 56.4405645533813 -2.19190438205169 0.282077805866198 -7.77056661838688 7.81358051617908e-15 2.01045794432959e-12
"0_2L_19588800_19591200_2L_20228000_20230400" 1.24051331283653 -2.3053524161319 1.51323284332252 -1.52346178997157 0.127643213265147 0.377111525342507
"0_X_11583200_11585600_X_11604000_11606400" 28.3376588520273 0.147261039766658 0.304153331437574 0.484167110945759 0.628267276041025 0.830713998212612
"0_2L_4454400_4456800_2L_4837600_4840000" 1.8198268587861 -1.86726258917868 0.923182385121355 -2.0226367175899 0.0431106157012984 0.199674679220732
"0_2L_12822400_12824800_2L_12852800_12855200" 30.3749118069409 -0.965212077669756 0.347995583502432 -2.77363312475202 0.00554341544529493 0.0495558656642474
"0_2R_17801600_17804000_2R_17820800_17823200" 19.6487054490423 -1.55256050958748 0.3943418735405 -3.9370926948442 8.24747546773837e-05 0.00189781339286088
"0_3L_15926400_15928800_3L_15948800_15951200" 19.8106342538833 -0.209800893473858 0.376955840218851 -0.556566236915319 0.577823827271193 0.799529642308187
"0_X_11360000_11362400_X_11365600_11368000" 93.3990572621302 -0.682257157259771 0.18108204508308 -3.76766872136192 0.000164779169836522 0.00329985832802336
"0_X_3368800_3371200_X_3450400_3452800" 24.7497693884938 -2.20595644359468 0.458953680387643 -4.80649036680887 1.53602880700745e-06 6.58708111126277e-05
"0_3R_8562400_8564800_3R_8651200_8653600" 7.04628823880991 -1.18318341646717 0.58268242862497 -2.03058022404979 0.0422975955091711 0.198205785578572
"0_3L_672000_674400_3L_748000_750400" 20.5337875908786 -3.66131782361442 0.559638856720914 -6.54228665440984 6.05852309579013e-11 8.16554279465937e-09
"0_2L_3538400_3540800_2L_3612000_3614400" 13.2111491655244 -2.51910054779482 0.529520817837201 -4.75732107773203 1.96179005281936e-06 8.04713011521217e-05
"0_2R_18588000_18590400_2R_18604000_18606400" 64.8669329491083 0.192715553622207 0.207950046224957 0.926739652722801 0.354061724287484 0.631318374826759
"0_3R_14107200_14109600_3R_14285600_14288000" 1.55695999590986 -5.08261449039605 1.67456338178868 -3.03518788579209 0.00240385884754878 0.0262691962349249
"0_3L_9018400_9020800_3L_9040000_9042400" 73.6847038808118 -1.53078826274039 0.262956477146711 -5.82145106045941 5.83388888592098e-09 5.05464801330153e-07
"0_2L_18318400_18320800_2L_18363200_18365600" 17.9775417023885 -0.58984678672549 0.431644059179907 -1.36651200029524 0.171778316917221 0.443873916294621
"0_X_16920800_16923200_X_17056800_17059200" 2.0221136064981 0.584154013768082 1.03990365686268 0.561738589832865 0.574294137917696 0.797831077252261
"0_3R_16718400_16720800_3R_16729600_16732000" 78.4546431066914 -0.365680033913964 0.239245370205348 -1.52847277086322 0.12639519906325 0.375059799218702
"0_3R_14893600_14896000_3R_15094400_15096800" 1.82690222934448 -2.20884827240228 1.13186035010139 -1.95152014310282 0.050995202426361 0.221596859673609
"0_2L_6722400_6724800_2L_6919200_6921600" 1.33071743787375 -2.7499002796722 1.73455704752195 -1.58536168274246 0.112884181796779 0.353401366849625
"0_2L_3199200_3201600_2L_3264800_3267200" 15.4555791970208 -2.05548179670163 0.604930553454396 -3.39788060788797 0.000679100502572945 0.00994179718508083
"0_3R_6647200_6649600_3R_6654400_6656800" 143.567343576131 -0.657099663844237 0.153501304010384 -4.2807432033267 1.86270199983493e-05 0.000573050821760812
"0_X_2292800_2295200_X_2305600_2308000" 60.5888438863604 -1.7590849039824 0.274804286579199 -6.40122803715957 1.54132164949279e-10 1.84329044025961e-08
"0_3R_17718400_17720800_3R_17792800_17795200" 6.55539835751081 -1.31630138448379 0.62785852557363 -2.09649360623267 0.0360384265119132 0.178635306195362
"0_X_11170400_11172800_X_11304000_11306400" 2.90459992270057 -2.06482436560334 1.04343088337632 -1.978879864972 0.047829533746749 0.212295123389255
"0_3R_29502400_29504800_3R_29590400_29592800" 6.3689673658336 -1.66768800217886 0.682413607085433 -2.44380824893205 0.0145331485354605 0.0985553592042124
"0_X_18664800_18667200_X_18692000_18694400" 49.9366199480498 -2.33920764603725 0.297477480656434 -7.86347807193809 3.73611775113601e-15 1.13297770803199e-12
"0_3L_1356800_1359200_3L_1488000_1490400" 4.44069431450382 -2.48607267660921 0.974431851775593 -2.55130481631848 0.0107320417979218 0.0788285180849081
"0_3L_13112800_13115200_3L_13227200_13229600" 18.9287830134579 -3.76564463174553 0.583634678289177 -6.45205772005162 1.10341534163987e-10 1.37780877439179e-08
"0_X_8455200_8457600_X_8464000_8466400" 89.8272674158547 1.7807665295669 0.210463586813603 8.46116212560814 2.64726068288267e-17 1.49852603055712e-14
"0_2R_5700800_5703200_2R_5980000_5982400" 1.82983114642942 -5.0339686585293 1.61084065455163 -3.12505687282301 0.00177770686007118 0.0210523137362125
"0_3R_19238400_19240800_3R_19776800_19779200" 0.849883900601309 -4.14901272142247 1.8718084057868 -2.21657981051671 0.0266518184806821 NA
"0_3L_22407200_22409600_3L_22571200_22573600" 8.5924947262947 -2.77670581469919 0.618790265533401 -4.48731334243866 7.21269559525926e-06 0.000247581598953796
"0_X_16556800_16559200_X_16565600_16568000" 301.779230786812 1.5272699502368 0.305599021072131 4.99762710259572 5.80400824785255e-07 2.80010420639295e-05
"0_2L_12616800_12619200_2L_12677600_12680000" 27.8779026601978 -2.80321440319697 0.444756493257838 -6.30280714433969 2.92302515434336e-10 3.14169703614297e-08
"0_2R_17849600_17852000_2R_18125600_18128000" 1.70788952806889 -3.59235414633598 1.28903696333918 -2.78685115206485 0.00532229195033077 0.0482300757206602
"0_2L_16048800_16051200_2L_16196800_16199200" 6.40941974552096 -2.51671886837708 0.710075560253802 -3.54429726813514 0.000393661121490219 0.00663209639399494
"0_2R_16206400_16208800_2R_16217600_16220000" 50.4527671123906 -0.524760792619651 0.241746707345516 -2.17070502585848 0.0299534770469015 0.158860070958926
"0_2L_12520000_12522400_2L_12544800_12547200" 13.0122545273297 -0.986583867323773 0.485852903742866 -2.03062256029227 0.0422932973743931 0.198205785578572
"0_3L_18683200_18685600_3L_18742400_18744800" 8.68296258023801 -2.42287627528236 0.695616212884923 -3.48306469918806 0.000495708548851046 0.00793073492631406
"0_3R_14942400_14944800_3R_15158400_15160800" 1.52911046083504 -2.07852494058914 1.39220768539942 -1.4929704543276 0.135444921034938 0.388928922728325
"0_2L_2856000_2858400_2L_2872800_2875200" 18.3666645379869 -0.054121594238512 0.395526944395344 -0.13683415252847 0.891161887721909 0.96035700982134
"0_3L_9988000_9990400_3L_10181600_10184000" 3.00206827556555 -3.91413501612528 1.56821742566441 -2.49591348244773 0.0125633239535955 0.0888959864083159
"0_3R_14166400_14168800_3R_14249600_14252000" 9.71749043513684 -2.15220568489986 0.703811035856521 -3.05793114238494 0.0022287078136297 0.0248020419993837
"0_3R_25079200_25081600_3R_25093600_25096000" 55.0231045358437 -1.73205013086825 0.26260748509907 -6.5955855379173 4.23580729640396e-11 5.80100641189775e-09
"0_X_19297600_19300000_X_19321600_19324000" 16.1748994089877 -1.6539456728262 0.499167054628132 -3.31341112657836 0.000921653927669553 0.0125709389086305
"0_2L_3538400_3540800_2L_3605600_3608000" 70.1119869858785 -2.86523599400687 0.300488907196221 -9.53524714353552 1.49528977466649e-21 2.11608424611553e-18
