"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"0_2L_20769600_20772000_2L_20782400_20784800" 56.4405645533813 -0.636204627464225 0.296731698129007 -2.14403999126385 0.0320296825964793 0.189782198817447
"0_2L_19588800_19591200_2L_20228000_20230400" 1.24051331283653 -2.29583777098287 1.99959631540524 -1.14815063085251 0.250906385764097 NA
"0_X_11583200_11585600_X_11604000_11606400" 28.3376588520273 -0.085303038296479 0.366622898166915 -0.232672423689266 0.816015784272038 0.926605023567632
"0_2L_4454400_4456800_2L_4837600_4840000" 1.8198268587861 -0.179883189466567 1.15622356833926 -0.155578206838442 0.876365504168813 NA
"0_2L_12822400_12824800_2L_12852800_12855200" 30.3749118069409 -1.03285636055106 0.413000913187243 -2.50085732881368 0.0123893078069019 0.109089579661628
"0_2R_17801600_17804000_2R_17820800_17823200" 19.6487054490423 0.35152805272365 0.473242876144171 0.742806855515261 0.457598624342575 0.719297125639204
"0_3L_15926400_15928800_3L_15948800_15951200" 19.8106342538833 -0.434599753454333 0.462824533819291 -0.939016239843546 0.347722406465493 0.641181406002738
"0_X_11360000_11362400_X_11365600_11368000" 93.3990572621302 -1.01534954188296 0.217052859592977 -4.67789064740714 2.89841035951004e-06 0.000340521811380151
"0_X_3368800_3371200_X_3450400_3452800" 24.7497693884938 -2.03769895301661 0.546897379170526 -3.7259256135167 0.000194599791381273 0.00720895803747564
"0_3R_8562400_8564800_3R_8651200_8653600" 7.04628823880991 -0.0608085818611953 0.718203975743653 -0.0846675650858546 0.932525682657603 NA
"0_3L_672000_674400_3L_748000_750400" 20.5337875908786 -0.412644700452385 0.665255027074668 -0.620280469381661 0.535073150950262 0.770925296673958
"0_2L_3538400_3540800_2L_3612000_3614400" 13.2111491655244 -2.0398142105533 0.90814439889692 -2.24613421943797 0.0246954120866807 0.164316398868011
"0_2R_18588000_18590400_2R_18604000_18606400" 64.8669329491083 0.293945011050092 0.228336753445151 1.28733113095041 0.197978897299628 0.493658314547346
"0_3R_14107200_14109600_3R_14285600_14288000" 1.55695999590986 -2.44726005730447 1.8352950778886 -1.33344228227316 0.182386704599873 NA
"0_3L_9018400_9020800_3L_9040000_9042400" 73.6847038808118 -0.986422786840559 0.273225903788987 -3.61028282150867 0.000305863312800798 0.0102338552855324
"0_2L_18318400_18320800_2L_18363200_18365600" 17.9775417023885 -0.710527453868161 0.509853492178105 -1.39359142335727 0.163441019924813 0.452198049571798
"0_X_16920800_16923200_X_17056800_17059200" 2.0221136064981 -3.09917704539629 1.59201783722554 -1.9466974382632 0.0515710189304365 NA
"0_3R_16718400_16720800_3R_16729600_16732000" 78.4546431066914 -0.542335530651864 0.24603987904809 -2.20425864599723 0.0275061594712339 0.175629390909494
"0_3R_14893600_14896000_3R_15094400_15096800" 1.82690222934448 0.0102473404081304 1.49713883972134 0.00684461596763979 0.994538829236349 NA
"0_2L_6722400_6724800_2L_6919200_6921600" 1.33071743787375 -1.95309865036654 1.77113029253371 -1.10274137289613 0.270139494374681 NA
"0_2L_3199200_3201600_2L_3264800_3267200" 15.4555791970208 -1.97069909680072 0.727094969511325 -2.71037371930273 0.00672074351084038 0.0772760037992485
"0_3R_6647200_6649600_3R_6654400_6656800" 143.567343576131 -0.174368339270402 0.168629313175521 -1.03403338356071 0.301120556897615 0.601345033016219
"0_X_2292800_2295200_X_2305600_2308000" 60.5888438863604 -0.997453311022801 0.312062277596018 -3.19632772889666 0.00139188915929601 0.0273849197273932
"0_3R_17718400_17720800_3R_17792800_17795200" 6.55539835751081 -0.454835132995704 0.816072865762587 -0.557346227374781 0.577290897211346 NA
"0_X_11170400_11172800_X_11304000_11306400" 2.90459992270057 -2.99620150666896 1.5618309575592 -1.91839039440694 0.0550615281182295 NA
"0_3R_29502400_29504800_3R_29590400_29592800" 6.3689673658336 -0.0735901399130457 0.770361304167499 -0.0955267866064117 0.923896414908723 NA
"0_X_18664800_18667200_X_18692000_18694400" 49.9366199480498 -0.302930543690158 0.347622057062035 -0.871436485505 0.383515871482761 0.667243306031959
"0_3L_1356800_1359200_3L_1488000_1490400" 4.44069431450382 -1.01348361104071 0.841090465465854 -1.20496385662792 0.228217255133064 NA
"0_3L_13112800_13115200_3L_13227200_13229600" 18.9287830134579 -2.22212787374167 0.800538266643966 -2.77579219673948 0.00550673922683699 0.067391999109386
"0_X_8455200_8457600_X_8464000_8466400" 89.8272674158547 1.70996034234278 0.218200010397205 7.83666480688987 4.62670965688087e-15 2.47182159189006e-12
"0_2R_5700800_5703200_2R_5980000_5982400" 1.82983114642942 -2.58040596198469 1.85940726737457 -1.38775727472989 0.165210968949536 NA
"0_3R_19238400_19240800_3R_19776800_19779200" 0.849883900601309 -3.03022081745934 1.9555965810074 -1.54951222910113 0.121258634063436 NA
"0_3L_22407200_22409600_3L_22571200_22573600" 8.5924947262947 -1.75376247151007 0.971948171498901 -1.80437859027553 0.0711719770334159 NA
"0_X_16556800_16559200_X_16565600_16568000" 301.779230786812 2.17236804540338 0.308519585196409 7.04126463809555 1.9050279285049e-12 8.70386093556904e-10
"0_2L_12616800_12619200_2L_12677600_12680000" 27.8779026601978 -1.32101003260782 0.563285696738585 -2.34518653723403 0.0190175623266471 0.138899140829792
"0_2R_17849600_17852000_2R_18125600_18128000" 1.70788952806889 -3.65400801250125 1.7695918765918 -2.06488742451666 0.0389336532389067 NA
"0_2L_16048800_16051200_2L_16196800_16199200" 6.40941974552096 -0.443013817232267 0.949912038143321 -0.46637351611858 0.640948164965468 NA
"0_2R_16206400_16208800_2R_16217600_16220000" 50.4527671123906 -0.724042793046411 0.285857798000347 -2.53287752900669 0.0113130471759455 0.102691501076132
"0_2L_12520000_12522400_2L_12544800_12547200" 13.0122545273297 -0.69086152417079 0.8230173900429 -0.839425184120081 0.401230756472915 0.68072131917882
"0_3L_18683200_18685600_3L_18742400_18744800" 8.68296258023801 -1.19329323077453 0.944708379291042 -1.26313395427914 0.20654104334281 NA
"0_3R_14942400_14944800_3R_15158400_15160800" 1.52911046083504 -2.74536117256224 1.72104112649957 -1.59517464765415 0.110673186389262 NA
"0_2L_2856000_2858400_2L_2872800_2875200" 18.3666645379869 -0.361669866277801 0.467478541220886 -0.773660894323083 0.439131351297228 0.710349377078757
